Name,Games,Rank
Tony Kaufmann,9,
Alex Kellner,9,
Darryl Kile,9,
Mike LaCoss,9,
Terry Larkin,9,
Tim Leary,9,
Billy Loes,9,
Bill Lohrman,9,
Kyle Lohse,9,
Tom Lovett,9,
Nick Maddox,9,
Art Mahaffey,9,
Rick Mahler,9,
Al Mattern,9,
Bill McGee,9,
Jouett Meekin,9,
Jim Merritt,9,
Paul Minner,9,
Frank Mountain,9,
Willard Nixon,9,
Hideo Nomo,9,
Phil Ortega,9,
Henry Porter,9,
Bugs Raymond,9,
Steve Renko,9,
Jimmy Ring,9,
Kenny Rogers,9,
Saul Rogovin,9,
Manny Salvo,9,
Ray Scarborough,9,
Jason Schmidt,9,
Aaron Sele,9,
James Shields,9,
Ernie Shore,9,
Elmer Smith,9,
Gerry Staley,9,
Ray Starr,9,
Dave Stewart,9,
Ed Summers,9,
Kevin Tapani,9,
Steve Trout,9,
Justin Verlander,9,
Herm Wehmeier,9,
John Whitehead,9,
George Winter,9,
Randy Wolf,9,
Clyde Wright,9,
Vic Aldridge,8,747
Bill Bailey,8,
Huck Betts,8,
Hi Bithorn,8,
Ted Blankenship,8,
Ken Brett,8,
Buttons Briggs,8,
Clint Brown,8,
Jackie Brown,8,
Harry Byrd,8,
Tom Cheney,8,
Dick Coffman,8,
Jim Colborn,8,
Johnny Cueto,8,
Paul Dean,8,
Gus Dorner,8,
Jumbo Elliott,8,
Shawn Estes,8,
Cecil Ferguson,8,
Mark Gardner,8,
Gary Gentry,8,
Moose Haas,8,
George Haddock,8,
Aaron Harang,8,
Joe Hatten,8,
Ken Hill,8,
Derek Holland,8,
LaMarr Hoyt,8,
Jay Hughes,8,
Pat Jarvis,8,
Connie Johnson,8,
Percy Jones,8,
Clay Kirby,8,
Bruce Kison,8,
Ron Kline,8,
Corey Kluber,8,
Phil Knell,8,
John Lackey,8,
Joe Lake,8,
Charlie Lea,8,
Tim Lincecum,8,
Jack Lynch,8,
Johnny Marcum,8,
Jake Miller,8,
Matt Morris,8,
Don Mossi,8,
Elmer Myers,8,
Jaime Navarro,8,
Doc Newton,8,
Roy Oswalt,8,
Carl Pavano,8,
Carlos Perez,8,
Ron Reed,8,
Flint Rhem,8,
Lee Richmond,8,
Socks Seibold,8,
John Smiley,8,
Bryn Smith,8,
Eddie Smith,8,
Vic Sorrell,8,
Al Spalding,8,
Lee Stange,8,
Lefty Stewart,8,
Charlie Sweeney,8,
Steve Swetonic,8,
Sloppy Thurston,8,
Jim Turner,8,
Jason Vargas,8,
Javier Vazquez,8,
Pete Vuckovich,8,
Mule Watson,8,
Jered Weaver,8,
Brandon Webb,8,
Dontrelle Willis,8,
Roger Wolff,8,
Andy Ashby,7,822
Jersey Bakley,7,
Len Barker,7,
Virgil Barnes,7,
George Baumgardner,7,
Gene Bearden,7,
Jim Beattie,7,
Al Brazle,7,
Madison Bumgarner,7,
Steve Busby,7,
Cliff Chambers,7,
Bob Chipman,7,
Bubba Church,7,
Johnny Cooney,7,
Roger Craig,7,
Ed Crane,7,
Jose DeLeon,7,
Blix Donnelly,7,
Slow Joe Doyle,7,
Karl Drews,7,
Pete Falcone,7,
Patsy Flaherty,7,
Frank Foreman,7,
Paul Foytack,7,
Benny Frey,7,
Bert Gallia,7,
Wayne Garland,7,
Joe Genewich,7,
Ted Gray,7,
Dan Griner,7,
Ad Gumbert,7,
Cole Hamels,7,
Jim Hardin,7,
Slim Harriss,7,
George Hemming,7,
Weldon Henley,7,
Al Hollingsworth,7,
Larry Jaster,7,
Ken Johnson,7,
Monte Kennedy,7,
Vern Kennedy,7,
Matt Keough,7,
Dickie Kerr,7,
Bob Klinger,7,
Johnny Kucks,7,
Bob Kuzava,7,
Dennis Lamp,7,
Ted Lewis,7,
Glenn Liebhardt,7,
Vive Lindaman,7,
Duke Maas,7,
Kid Madden,7,
Firpo Marberry,7,
Connie Marrero,7,
Jakie May,7,
Ken McBride,7,
Steve McCatty,7,
Heinie Meine,7,
Jock Menefee,7,
Roy Mitchell,7,
Tom Morgan,7,
Denny Neagle,7,
Roger Nelson,7,
Jerry Nops,7,
Mike Norris,7,
Vern Olsen,7,
Frank Pastore,7,
Alejandro Pena,7,
Shane Rawley,7,
Rick Reed,7,
Shane Reynolds,7,
Dave Rozema,7,
Diego Segui,7,
Bob Stanley,7,
Chuck Stobbs,7,
Steve Stone,7,
Tom Sturdivant,7,
Max Surkont,7,
Craig Swan,7,
Bill Swift,7,
Jack Taylor,7,
Bob Tewksbury,7,
Steve Trachsel,7,
Rube Vickers,7,
Luke Walker,7,
Jeff Weaver,7,
Jim Weaver,7,
Sam Weaver,7,
Bob Weiland,7,
Ed Wells,7,
Hal White,7,
Pat Zachry,7,
Jim Abbott,6,914
Neil Allen,6,
Henderson Alvarez,6,
Pete Appleton,6,
Bronson Arroyo,6,
Jerry Augustine,6,
Steve Avery,6,
Rex Barney,6,
Bob Barr,6,
Ross Baumgarten,6,
Josh Beckett,6,
Dennis Bennett,6,
Bill Bevens,6,
Dave Boswell,6,
Pete Broberg,6,
Boardwalk Brown,6,
Bob Bruce,6,
Ron Bryant,6,
John Burkett,6,
Ken Burkhart,6,
John Butcher,6,
Paul Byrd,6,
Matt Cain,6,
Ben Cantwell,6,
Charlie Case,6,
George Caster,6,
Charlie Chech,6,
Larry Christenson,6,
Jack Cronin,6,
Ed Daily,6,
Wheezer Dell,6,
Ike Delock,6,
Jim Deshaies,6,
R.A. Dickey,6,
Ed Doheny,6,
Atley Donald,6,
Kelly Downs,6,
Moe Drabowsky,6,
James Edwards,6,
Eric Erickson,6,
Dick Errickson,6,
Cliff Fannin,6,
Harry Feldman,6,
Alan Foster,6,
Dave Freisleben,6,
Jon Garland,6,
Hank Gastright,6,
Whitey Glazner,6,
Lee Grissom,6,
Randy Gumpert,6,
Warren Hacker,6,
Atlee Hammaker,6,
Dan Haren,6,
Ed Head,6,
Neal Heaton,6,
Bob Hendley,6,
John Hiller,6,
Bill Hogg,6,
Brian Holman,6,
Bart Johnson,6,
Rankin Johnson,6,
George Kaiserling,6,
Bob Keegan,6,
Steve Kline,6,
Johnny Klippstein,6,
Ken Kravec,6,
Esteban Loaiza,6,
Phil Marchildon,6,
Joe Mays,6,
Ernie McAnally,6,
Jim McAndrew,6,
Ben McDonald,6,
Chappie McFarland,6,
Doc McJames,6,
Rube Melton,6,
Bob Miller,6,
Roscoe Miller,6,
Kevin Millwood,6,
Brian Moehler,6,
Dave Morehead,6,
Charles Nagy,6,
Ricky Nolasco,6,
Hank O'Day,6,
Bill Parsons,6,
Jake Peavy,6,
Jesse Petty,6,
Big Jeff Pfeffer,6,1000
Bill Phillips,6,
Joel Pineiro,6,
Bill Posedel,6,
Nels Potter,6,
Mike Prendergast,6,
Chuck Rainey,6,
Charlie Robertson,6,
Don Robinson,6,
Buck Ross,6,
Marius Russo,6,
Aníbal Sánchez,6,
Carl Scheib,6,
Dick Selma,6,
Cy Seymour,6,
Mike Smithson,6,
Bill Stafford,6,
Todd Stottlemyre,6,
Vito Tamulis,6,
Junior Thompson,6,
Wayne Twitchell,6,
Tom Underwood,6,
Ismael Valdez,6,
Tim Wakefield,6,
Bob Walk,6,
Emil Yde,6,
Floyd Youmans,6,
