Name,Games,Rank
Jack Baldschun,457,556
Bob Buhl,457,
Mark Langston,457,
Kyle Lohse,457,
Rick Sutcliffe,457,
Chad Durbin,456,561
Al Benton,455,562
Larry Benton,455,
Jim Barr,454,564
Jeff Robinson,454,
Clyde Shoun,454,
Mike Cuellar,453,567
Bill Doak,453,
Clark Griffith,453,
Harvey Haddix,453,
Greg McMichael,453,
Mike Munoz,453,
Fernando Valenzuela,453,
Nelson Briles,452,574
Josh Hader,452,
Jorge Julio,452,
Jon Lester,452,
Ed Whitson,452,
Greg Cadaret,451,579
Tom Candiotti,451,
Wayne Granger,451,
Ken Holtzman,451,
Kevin Millwood,451,
Art Nehf,451,
Steve Renko,451,
Alex Colomé,450,586
David Cone,450,
Stan Coveleski,450,
Don Elston,450,
Fred Gladding,450,
Mike Moore,450,
Javier Vazquez,450,
Kirby Yates,450,
Chuck Crim,449,594
Claude Raymond,449,
Don Aase,448,596
John Lackey,448,
Jeff Suppan,448,
Bobby Thigpen,448,
Hank Aguirre,447,600
José Álvarez,447,
Blaine Boyer,447,
Juan Cruz,447,
Steve Gromek,447,
Will Harris,447,
Phil Maton,446,606
Kerry Wood,446,
John Burkett,445,608
Bill Caudill,445,
Bob Knepper,445,
Dave Roberts,445,
Lon Warneke,445,
Matt Capps,444,613
Jason Motte,444,
Claude Passeau,444,
Juan Rincon,444,
Hector Rondon,444,
C.J. Wilson,444,
Brett Cecil,443,619
Tom Morgan,443,
Dave Stieb,443,
Zack Britton,442,622
Storm Davis,442,
Elmer Dessens,442,
George Sherrill,442,
Dazzy Vance,442,
Al Brazle,441,627
Chris Hammond,441,
Al Orth,440,629
Emilio Pagán,440,
Johnny Podres,440,
Adonis Terry,440,
Jose Veras,440,
Clayton Kershaw,439,634
Tom Murphy,439,
John Curtis,438,636
Rube Benton,437,637
Casey Janssen,436,638
Koji Uehara,436,
A.J. Burnett,435,640
Yimi García,435,
Sid Monge,435,
Bob Smith,435,
John Wyatt,435,
Neil Allen,434,645
Clint Brown,434,
Allie Reynolds,434,
Bob Shirley,434,
Chick Fraser,433,649
Jim Konstanty,433,
Barry Zito,433,
Doug Bird,432,652
Mike Fornieles,432,
Floyd Bannister,431,654
Jim Poole,431,
Ryne Stanek,431,
Jorge De La Rosa,430,657
Dwight Gooden,430,
Joe Heving,430,
Bob Shaw,430,
Ed Walsh,430,
Bobby Witt,430,
Curt Davis,429,663
Pete Richert,429,
Paul Splittorff,429,
Reggie Cleveland,428,666
Mike Garcia,428,
Bucky Walters,428,
Joe Blanton,427,669
