Name,Triples,Rank
George Watkins,42,929
Vic Wertz,42,930
Jo-Jo White,42,931
Harry Wolter,42,932
Norm Cash,41,933
Joey Cora,41,934
Hank Edwards,41,935
Hoot Evers,41,936
Carlos Gómez,41,937
Solly Hemus,41,938
Tom Herr,41,939
Jason Heyward,41,940
Walter Johnson,41,941
Bob Kennedy,41,942
Ian Kinsler,41,943
Johnny Logan,41,944
Alex Metzler,41,945
Chief Meyers,41,946
Lefty O'Doul,41,947
Lou Piniella,41,948
Scott Podsednik,41,949
José Ramírez,41,950
Pete Reiser,41,951
Benito Santiago,41,952
George Selkirk,41,953
Harry Simpson,41,954
Rennie Stennett,41,955
Shannon Stewart,41,956
Jose Valentin,41,957
Gary Ward,41,958
Bob Watson,41,959
Kevin Bass,40,960
Mookie Betts,40,961
Frank Bolling,40,962
Eddie Bressoud,40,963
Tom Brookens,40,964
Jack Burdock,40,965
Starlin Castro,40,966
Walker Cooper,40,967
Craig Counsell,40,968
Bert Daniels,40,969
Leon Durham,40,970
Travis Fryman,40,971
Dan Gladden,40,972
Carlos González,40,973
Toby Harrah,40,974
Buddy Hassett,40,975
Willie Horton,40,976
Stan Javier,40,977
Kelly Johnson,40,978
Davy Jones,40,979
Carney Lansford,40,980
Hal Lee,40,981
Denis Menke,40,982
Troy O'Leary,40,983
Lenny Randle,40,984
Pop Schriver,40,985
Dick Siebert,40,986
Bill Sweeney,40,987
Larry Twitchell,40,988
Moises Alou,39,989
Tony Armas,39,990
Sam Barkley,39,991
Gregor Blanco,39,992
Marlon Byrd,39,993
Jack Clark,39,994
Alex Cora,39,995
Bill Coughlin,39,996
Walton Cruise,39,997
Bill Doran,39,998
Jim Eisenreich,39,999
Clyde Engle,39,1000
Doug Flynn,39,1001
Gary Gaetti,39,1002
Debs Garms,39,1003
Tom Goodwin,39,1004
Billy Hamilton,39,1005
Frank Hankinson,39,1006
Torii Hunter,39,1007
Ralph Kiner,39,1008
DJ LeMahieu,39,1009
Willard Marshall,39,1010
Lee Maye,39,1011
Jimmy McAleer,39,1012
Austin McHenry,39,1013
Sam Mele,39,1014
Dale Murphy,39,1015
Ernie Orsatti,39,1016
Terry Pendleton,39,1017
Ollie Pickering,39,1018
Doug Rader,39,1019
Topper Rigney,39,1020
Brian Roberts,39,1021
Johnny Rucker,39,1022
Joe Rudi,39,1023
Pop Snyder,39,1024
Robby Thompson,39,1025
Will Venable,39,1026
Jim Whitney,39,1027
Jimmy Wynn,39,1028
