Name,Stolen Bases,Rank
Chuck Hinton,130,675
Barry McCormick,130,676
Beals Becker,129,677
Eric Byrnes,129,678
Enzo Hernandez,129,679
Henry Larkin,129,680
Les Mann,129,681
Tommy Pham,129,682
Tilly Walker,129,683
Bill Almon,128,684
Clyde Engle,128,685
Carlton Fisk,128,686
Andres Galarraga,128,687
Luis Gonzalez,128,688
Larry Hisle,128,689
Johnny Hopp,128,690
Larry Lintz,128,691
John Lowenstein,128,692
Ward Miller,128,693
Juan Encarnacion,127,694
Bud Harrelson,127,695
Connie Mack,127,696
Bill McKechnie,127,697
Bing Miller,127,698
Bobby Murcer,127,699
Terry Pendleton,127,700
Ivan Rodriguez,127,701
Michael Taylor,127,702
Sonny Jackson,126,703
Willie Kamm,126,704
Howie Kendrick,126,705
Leonys Martin,126,706
Marty McManus,126,707
Eric Owens,126,708
Jack Boyle,125,709
Michael Brantley,125,710
Vic Davalillo,125,711
Cristian Guzman,125,712
Jason Heyward,125,713
Carlos Lee,125,714
Wally Pipp,125,715
Tony Scott,125,716
Felipe Lopez,124,717
Preston Wilson,124,718
Jason Bartlett,123,719
Elly De La Cruz,123,720
David Eckstein,123,721
Augie Galan,123,722
Guy Hecker,123,723
Johnny Kling,123,724
Mickey Morandini,123,725
Babe Ruth,123,726
Tim Anderson,122,727
Gregor Blanco,122,728
Carlos González,122,729
AJ Pollock,122,730
Heinie Reitz,122,731
Alex Sanchez,122,732
Adrián Beltré,121,733
Vic Saier,121,734
Wally Schang,121,735
Ryan Theriot,121,736
Greg Vaughn,121,737
Dave Cash,120,738
Al Cowens,120,739
Harry Lyons,120,740
Matty McIntyre,120,741
Nyjer Morgan,120,742
Hunter Pence,120,743
Chris Sabo,120,744
Dick Schofield,120,745
Mallex Smith,120,746
Ed Swartwood,120,747
Kolten Wong,120,748
Dave Altizer,119,749
Xander Bogaerts,119,750
Brian Jordan,119,751
Mike Lansing,119,752
Doug Baird,118,753
Ender Inciarte,118,754
Scott Rolen,118,755
Arky Vaughan,118,756
Wally Backman,117,757
Joey Cora,117,758
John Hummel,117,759
Deacon McGuire,117,760
Albert Pujols,117,761
Luis Salazar,117,762
Red Smith,117,763
General Stafford,117,764
Charley Bassett,116,765
Nico Hoerner,116,766
Pat Listach,116,767
Tom McCreery,116,768
Fernando Vina,116,769
Possum Whitted,116,770
Ben Zobrist,116,771
Tommy Edman,115,772
Bernard Gilkey,115,773
Mike Kreevich,115,774
Jim Piersall,115,775
Cy Williams,115,776
Randy Arozarena,114,777
Jim Canavan,114,778
Cozy Dolan,114,779
Damion Easley,114,780
Mike Grady,114,781
Austin Jackson,114,782
