Name,Hit by Pitch,Rank
Mike Morse,47,630
Max Muncy,47,631
Danny Murphy,47,632
Isaac Paredes,47,633
Paul Radford,47,634
Troy Tulowitzki,47,635
Christian Walker,47,636
Bobby Wallace,47,637
Bill Wambsganss,47,638
Jimmy Welsh,47,639
Rod Barajas,46,640
Tom Brown,46,641
Clint Courtney,46,642
Rajai Davis,46,643
David Dellucci,46,644
Joe DiMaggio,46,645
Jacoby Ellsbury,46,646
Troy Glaus,46,647
Danny Green,46,648
Ernie Lombardi,46,649
Denis Menke,46,650
Justin Morneau,46,651
Scott Servais,46,652
Juan Uribe,46,653
Arky Vaughan,46,654
Perry Werden,46,655
Charlie Babb,45,656
Royce Clayton,45,657
Lou Gehrig,45,658
Jim Gentile,45,659
Adrian Gonzalez,45,660
Alex Gonzalez,45,661
Ben Grieve,45,662
Wes Helms,45,663
Pete Incaviglia,45,664
Isiah Kiner-Falefa,45,665
Fred Luderus,45,666
Ryan Ludwick,45,667
Mike Matheny,45,668
Carlos May,45,669
Jim McTamany,45,670
Doggie Miller,45,671
Dots Miller,45,672
Rube Oldring,45,673
Magglio Ordonez,45,674
Darrell Porter,45,675
Alex Rios,45,676
David Wright,45,677
Dmitri Young,45,678
Jimmy Austin,44,679
David Bell,44,680
Milton Bradley,44,681
Kole Calhoun,44,682
Joey Cora,44,683
Jack Crooks,44,684
Ed Hahn,44,685
Brian Harper,44,686
Chris Hoiles,44,687
Tom Jones,44,688
Willie Mays,44,689
Bill Melton,44,690
Fred Merkle,44,691
Eddie Miller,44,692
George Moriarty,44,693
Tip O'Neill,44,694
Kyle Schwarber,44,695
Chick Stahl,44,696
Gee Walker,44,697
George Watkins,44,698
Nolan Arenado,43,699
Richie Ashburn,43,700
Lu Blue,43,701
Jim Bottomley,43,702
Steve Buechele,43,703
Birdie Cree,43,704
Ian Desmond,43,705
Jay Faatz,43,706
Cecil Fielder,43,707
Ryan Freel,43,708
Oscar Gamble,43,709
Marwin Gonzalez,43,710
Casey Kotchman,43,711
Tim Locastro,43,712
Johnny Logan,43,713
Fred Mann,43,714
Nyjer Morgan,43,715
Steve O'Neill,43,716
Tony Perez,43,717
Buster Posey,43,718
Yasiel Puig,43,719
Babe Ruth,43,720
Carlos Santana,43,721
Edmundo Sosa,43,722
Sammy Strang,43,723
Ed Swartwood,43,724
Leon Wagner,43,725
Billy Williams,43,726
Jorge Alfaro,42,727
Mark Belanger,42,728
Bill Buckner,42,729
Byron Buxton,42,730
Charlie Comiskey,42,731
Don Demeter,42,732
Charlie Dexter,42,733
Brendan Donovan,42,734
Joe Dugan,42,735
Elbie Fletcher,42,736
Chick Gandil,42,737
John Ganzel,42,738
Bernard Gilkey,42,739
Dan Gladden,42,740
Scott Hatteberg,42,741
Nico Hoerner,42,742
Thurman Munson,42,743
Larry Parrish,42,744
Tony Phillips,42,745
Tim Raines,42,746
Carl Reynolds,42,747
Miguel Rojas,42,748
Don Slaught,42,749
Elmer Smith,42,750
Kelly Stinnett,42,751
Chris Taylor,42,752
Patsy Tebeau,42,753
Jesse Winker,42,754
Jimmy Wolf,42,755
Todd Zeile,42,756
Edgardo Alfonzo,41,757
Sandy Alomar Jr.,41,758
Dante Bichette,41,759
Don Buford,41,760
Oyster Burns,41,761
Johnny Callison,41,762
Harlond Clift,41,763
Jeff Conine,41,764
Doc Cramer,41,765
Shawon Dunston,41,766
Travis Fryman,41,767
Chris Gomez,41,768
Fred Hartman,41,769
Frank Isbell,41,770
Kevin Kiermaier,41,771
Candy Maldonado,41,772
Trey Mancini,41,773
Doug Mientkiewicz,41,774
Raul Mondesi,41,775
Billy Nash,41,776
Darby O'Brien,41,777
Dode Paskert,41,778
Tommy Pham,41,779
Charlie Reilly,41,780
Gary Roenicke,41,781
Pop Schriver,41,782
Kip Selbach,41,783
Riggs Stephenson,41,784
Andre Thornton,41,785
Mike Tiernan,41,786
Deacon White,41,787
Yordan Alvarez,40,788
Ed Brinkman,40,789
Chad Curtis,40,790
Klondike Douglass,40,791
Ron Fairly,40,792
Greg Gagne,40,793
Jack Graney,40,794
Randal Grichuk,40,795
Harry Heilmann,40,796
Davey Johnson,40,797
Cleon Jones,40,798
Duffy Lewis,40,799
Billy Maloney,40,800
J.D. Martinez,40,801
Bake McBride,40,802
Tommy McCraw,40,803
Mike Menosky,40,804
Don Money,40,805
Joe Morgan,40,806
Red Murray,40,807
Herbert Perry,40,808
Tony Piet,40,809
Doug Rader,40,810
José Ramírez,40,811
Cody Ross,40,812
Rey Sanchez,40,813
Andy Seminick,40,814
Socks Seybold,40,815
Earl Sheely,40,816
Trevor Story,40,817
Tom Tresh,40,818
Trea Turner,40,819
Zoilo Versalles,40,820
Pete Ward,40,821
Walt Weiss,40,822
Carl Yastrzemski,40,823
Delmon Young,40,824
Whitey Alperman,39,825
Victor Caratini,39,826
Travis d'Arnaud,39,827
Johnny Evers,39,828
Mike Greenwell,39,829
Mitch Haniger,39,830
Larry Hisle,39,831
Danny Hoffman,39,832
Baby Doll Jacobson,39,833
Jason Kipnis,39,834
Joe Kuhel,39,835
Rabbit Maranville,39,836
James McCann,39,837
Fred McGriff,39,838
Ed McKean,39,839
Joe Quinn,39,840
Heinie Reitz,39,841
Rich Rollins,39,842
Ted Simmons,39,843
Casey Stengel,39,844
Michael Tucker,39,845
Joey Wendle,39,846
Bernie Williams,39,847
Ted Williams,39,848
Buddy Bell,38,849
Wally Berger,38,850
Hubie Brooks,38,851
Brett Butler,38,852
Chico Carrasquel,38,853
Starlin Castro,38,854
Dave Collins,38,855
Roger Connor,38,856
Joe Crede,38,857
Rafael Devers,38,858
Matt Diaz,38,859
Larry Doby,38,860
Thairo Estrada,38,861
Julio Franco,38,862
Kid Gleason,38,863
Butch Henline,38,864
Dick Hoblitzell,38,865
Shanty Hogan,38,866
Wally Joyner,38,867
Ron Kittle,38,868
Gene Larkin,38,869
Hans Lobert,38,870
Harry Lord,38,871
Roger Maris,38,872
Jimmy McAleer,38,873
Stuffy McInnis,38,874
Ray Morgan,38,875
David Ortiz,38,876
Tom Paciorek,38,877
Gerardo Parra,38,878
Dustin Pedroia,38,879
Jeremy Peña,38,880
Jhonny Peralta,38,881
Wally Pipp,38,882
Stephen Piscotty,38,883
Willie Randolph,38,884
Jimmy Rollins,38,885
Benito Santiago,38,886
Ron Santo,38,887
Seth Smith,38,888
Darryl Strawberry,38,889
Elmer Valo,38,890
George Van Haltren,38,891
Quilvio Veras,38,892
Paul Waner,38,893
Heinie Zimmerman,38,894
Shad Barry,37,895
Kevin Bass,37,896
Michael Brantley,37,897
Jorge Cantu,37,898
Jamey Carroll,37,899
Phil Cavarretta,37,900
J.P. Crawford,37,901
Bobby Darwin,37,902
Mariano Duncan,37,903
Darin Erstad,37,904
Adam Everett,37,905
Lew Ford,37,906
Brad Fullmer,37,907
Bobby Higginson,37,908
Keston Hiura,37,909
Kenji Johjima,37,910
Mike Lansing,37,911
Julio Lugo,37,912
Jake Marisnick,37,913
Mike Marshall,37,914
Jo-Jo Moore,37,915
Pat Moran,37,916
Logan Morrison,37,917
Lance Parrish,37,918
Ed Phelps,37,919
Del Pratt,37,920
Howie Shanks,37,921
Enos Slaughter,37,922
Alan Trammell,37,923
Greg Vaughn,37,924
Jose Vidro,37,925
Chief Wilson,37,926
Chris Young,37,927
Ross Youngs,37,928
Matty Alou,36,929
Harry Bemis,36,930
Peter Bourjos,36,931
Wid Conroy,36,932
Pop Corkhill,36,933
Gary DiSarcina,36,934
Kevin Frandsen,36,935
Marcus Giles,36,936
Wilbur Good,36,937
Johnny Grubb,36,938
Kelly Gruber,36,939
Paul Hines,36,940
Del Howard,36,941
Alex Johnson,36,942
Jacque Jones,36,943
Aaron Judge,36,944
George Kell,36,945
Otto Knabe,36,946
Ray Knight,36,947
Whitey Kurowski,36,948
Tom Lampkin,36,949
Ray Lankford,36,950
Reddy Mack,36,951
Garry Maddox,36,952
Ketel Marte,36,953
Gil McDougald,36,954
Jocko Milligan,36,955
Brandon Moss,36,956
Eddie Murphy,36,957
Zach Neto,36,958
Jim O'Rourke,36,959
Ivy Olson,36,960
Steve Pearce,36,961
Josh Phelps,36,962
Johnny Roseboro,36,963
Bill Russell,36,964
Corey Seager,36,965
Dominic Smith,36,966
Denard Span,36,967
Homer Summa,36,968
Ruben Tejada,36,969
Claudell Washington,36,970
Jimmy Williams,36,971
Jack Wilson,36,972
Sam Wise,36,973
Joel Youngblood,36,974
Max Alvis,35,975
Welington Castillo,35,976
Dave Chalk,35,977
Roberto Clemente,35,978
Darnell Coles,35,979
Tommy Corcoran,35,980
Tommy Edman,35,981
Darrell Evans,35,982
Tim Foli,35,983
Pete Gilbert,35,984
Khalil Greene,35,985
Tom Haller,35,986
George Harper,35,987
Tommy Harper,35,988
Gabby Hartnett,35,989
Ron Jackson,35,990
Charlie Jamieson,35,991
Bill Killefer,35,992
Brandon Lowe,35,993
Rob Mackowiak,35,994
Frank Menechino,35,995
Mitch Moreland,35,996
Mike Mowrey,35,997
Bill Mueller,35,998
Greasy Neale,35,999
John O'Brien,35,1000
Jack O'Connor,35,1001
Ben Oglivie,35,1002
José Peraza,35,1003
AJ Pollock,35,1004
Ken Reitz,35,1005
Braggo Roth,35,1006
Joe Rudi,35,1007
Anthony Santander,35,1008
Kevin Seitzer,35,1009
Duke Sims,35,1010
Josh Smith,35,1011
Chris Speier,35,1012
Scott Spiezio,35,1013
Junior Spivey,35,1014
Eddie Stanky,35,1015
