Name,Grand Slams,Rank
Jake Rogers,4,638
Scott Rolen,4,639
Jimmy Rollins,4,640
Rich Rollins,4,641
Jimmy Ryan,4,642
Jarrod Saltalamacchia,4,643
Anthony Santander,4,644
Hank Sauer,4,645
Frank Schulte,4,646
Kevin Seitzer,4,647
George Selkirk,4,648
George Sisler,4,649
Bob Skinner,4,650
Al Smith,4,651
Elmer Smith,4,652
Cory Snyder,4,653
Tris Speaker,4,654
Chris Speier,4,655
Jim Spencer,4,656
Shane Spencer,4,657
Ed Sprague,4,658
Ian Stewart,4,659
Trevor Story,4,660
Jim Sundberg,4,661
Ichiro Suzuki,4,662
Raimel Tapia,4,663
Frank Thomas,4,664
Lee Thomas,4,665
Hank Thompson,4,666
Jason Thompson,4,667
Jack Tobin,4,668
Yorvit Torrealba,4,669
Hal Trosky,4,670
Troy Tulowitzki,4,671
Justin Turner,4,672
Daulton Varsho,4,673
Arky Vaughan,4,674
Omar Vizquel,4,675
Daniel Vogelbach,4,676
Joey Votto,4,677
Leon Wagner,4,678
Dixie Walker,4,679
Pete Ward,4,680
Preston Ward,4,681
Lou Whitaker,4,682
Rondell White,4,683
Mark Whiten,4,684
Fred Whitfield,4,685
Preston Wilson,4,686
Bobby Witt Jr.,4,687
David Wright,4,688
Russ Wrightstone,4,689
Jimmy Wynn,4,690
Steve Yeager,4,691
Eddie Yost,4,692
Babe Young,4,693
Chris Young,4,694
Michael Young,4,695
Don Zimmer,4,696
Kurt Abbott,3,697
Ronald Acuña Jr.,3,698
Jo Adell,3,699
Willie Aikens,3,700
Moises Alou,3,701
Aaron Altherr,3,702
Pedro Alvarez,3,703
Brady Anderson,3,704
Mike Andrews,3,705
Shane Andrews,3,706
J.P. Arencibia,3,707
Alan Ashby,3,708
Rich Aurilia,3,709
Brad Ausmus,3,710
Bobby Avila,3,711
Gene Baker,3,712
Jesse Barfield,3,713
Michael Barrett,3,714
John Bateman,3,715
Brandon Belt,3,716
Andrew Benintendi,3,717
Sean Berry,3,718
Del Bissonette,3,719
Paul Blair,3,720
Johnny Blanchard,3,721
Henry Blanco,3,722
Curt Blefary,3,723
Ping Bodie,3,724
Barry Bonnell,3,725
Daryl Boston,3,726
Milton Bradley,3,727
Michael Brantley,3,728
Sid Bream,3,729
Johnny Briggs,3,730
Rico Brogna,3,731
Scott Brosius,3,732
Damon Buford,3,733
Don Buford,3,734
Eddie Burke,3,735
Jim Busby,3,736
Lorenzo Cain,3,737
Mark Canha,3,738
Bernie Carbo,3,739
Corbin Carroll,3,740
Chris Carter,3,741
Rico Carty,3,742
Raul Casanova,3,743
Welington Castillo,3,744
Jason Castro,3,745
Bob Cerv,3,746
Matt Chapman,3,747
Cupid Childs,3,748
Tony Clark,3,749
Lou Clinton,3,750
Darnell Coles,3,751
Carlos Correa,3,752
Craig Counsell,3,753
Billy Cox,3,754
Coco Crisp,3,755
Jake Cronenworth,3,756
Frankie Crosetti,3,757
Roy Cullenbine,3,758
Travis d'Arnaud,3,759
Dom Dallessandro,3,760
Jim Davenport,3,761
Ben Davis,3,762
George Davis,3,763
Ike Davis,3,764
J.D. Davis,3,765
Rajai Davis,3,766
Paul DeJong,3,767
David Dellucci,3,768
Russ Derry,3,769
Mike Devereaux,3,770
Bo Diaz,3,771
Elias Díaz,3,772
Alex Dickerson,3,773
Dick Dietz,3,774
Bill Doran,3,775
Stephen Drew,3,776
Mariano Duncan,3,777
Erubiel Durazo,3,778
Leon Durham,3,779
Leo Durocher,3,780
Jim Dwyer,3,781
Luke Easter,3,782
Johnny Edwards,3,783
Jim Eisenreich,3,784
Mark Ellis,3,785
Kevin Elster,3,786
Juan Encarnacion,3,787
Morgan Ensberg,3,788
Mike Epstein,3,789
Danny Espinosa,3,790
Ferris Fain,3,791
Bibb Falk,3,792
Duke Farrell,3,793
Happy Felsch,3,794
Frank Fernandez,3,795
Tony Fernandez,3,796
Robert Fick,3,797
Mike Fitzgerald,3,798
John Flaherty,3,799
Barry Foote,3,800
David Freese,3,801
Freddy Galvis,3,802
John Ganzel,3,803
Karim Garcia,3,804
Phil Garner,3,805
Rich Gedman,3,806
Charlie Gehringer,3,807
Carlos Gómez,3,808
Luis Gonzalez,3,809
Marwin Gonzalez,3,810
Alex Gordon,3,811
Goose Goslin,3,812
Hank Gowdy,3,813
Mark Grace,3,814
Yasmani Grandal,3,815
Willie Greene,3,816
Mike Greenwell,3,817
Charlie Grimm,3,818
Wayne Gross,3,819
Johnny Groth,3,820
Pedro Guerrero,3,821
Carlos Guillen,3,822
Tony Gwynn,3,823
Jedd Gyorko,3,824
Jerry Hairston,3,825
Scott Hairston,3,826
Darryl Hamilton,3,827
Josh Hamilton,3,828
Granny Hamner,3,829
Mitch Haniger,3,830
Lenny Harris,3,831
Jim Ray Hart,3,832
Brad Hawpe,3,833
Charlie Hayes,3,834
Harry Heilmann,3,835
Jonah Heim,3,836
Wes Helms,3,837
Ken Henderson,3,838
Rickey Henderson,3,839
Babe Herman,3,840
Ed Herrmann,3,841
Larry Hisle,3,842
Bug Holliday,3,843
Dave Hollins,3,844
Sam Horn,3,845
Eric Hosmer,3,846
Brian Hunter,3,847
Adam Hyzdu,3,848
Chris James,3,849
Billy Johnson,3,850
Brian Johnson,3,851
Charles Johnson,3,852
Dan Johnson,3,853
Jay Johnstone,3,854
Mack Jones,3,855
Joe Judge,3,856
Eddie Kasko,3,857
George Kell,3,858
Joe Kelley,3,859
Bob Kennedy,3,860
Max Kepler,3,861
Kevin Kiermaier,3,862
Hal King,3,863
Jason Kipnis,3,864
Ted Kluszewski,3,865
Mark Kotsay,3,866
Kevin Kouzmanoff,3,867
Mike Lamb,3,868
Carney Lansford,3,869
Frank LaPorte,3,870
Adam LaRoche,3,871
Cookie Lavagetto,3,872
Brett Lawrie,3,873
Travis Lee,3,874
DJ LeMahieu,3,875
Ted Lepcio,3,876
Sixto Lezcano,3,877
Danny Litwhiler,3,878
Don Lock,3,879
