Name,Sacrifice Flies,Rank
Butch Wynegar,36,708
Joe Adcock,35,709
Bob Allison,35,710
Rod Barajas,35,711
Tony Bernazard,35,712
Ivan Calderon,35,713
Darnell Coles,35,714
Craig Counsell,35,715
David DeJesus,35,716
Kevin Elster,35,717
Alcides Escobar,35,718
Joe Ferguson,35,719
Rafael Furcal,35,720
Jim Gilliam,35,721
Johnny Grubb,35,722
Kelly Gruber,35,723
Josh Harrison,35,724
Chase Headley,35,725
Jay Johnstone,35,726
Russell Martin,35,727
Buck Martinez,35,728
Dan Meyer,35,729
Wally Moon,35,730
Lyle Overbay,35,731
Joe Pepitone,35,732
Bubba Phillips,35,733
Luis Polonia,35,734
Rafael Ramirez,35,735
J.T. Realmuto,35,736
Mickey Rivers,35,737
Dansby Swanson,35,738
Dickie Thon,35,739
Leon Wagner,35,740
Gary Ward,35,741
Willie Wilson,35,742
Jim Wohlford,35,743
Dmitri Young,35,744
Sandy Alomar Jr.,34,745
Garrett Atkins,34,746
Jesse Barfield,34,747
Todd Benzinger,34,748
Don Buford,34,749
Alberto Callaspo,34,750
Frank Catalanotto,34,751
Michael Cuddyer,34,752
Rich Dauer,34,753
Khris Davis,34,754
Mike Devereaux,34,755
Jason Heyward,34,756
Ruppert Jones,34,757
Willie Kirkland,34,758
Corey Koskie,34,759
Sherm Lollar,34,760
Mike Matheny,34,761
Pat Meares,34,762
Joe Oliver,34,763
Spike Owen,34,764
Angel Pagan,34,765
Aurelio Rodriguez,34,766
Pete Runnels,34,767
Rey Sanchez,34,768
George Springer,34,769
Mickey Stanley,34,770
Johnny Temple,34,771
Cesar Tovar,34,772
Ellis Valentine,34,773
Kolten Wong,34,774
Ozzie Albies,33,775
Marty Barrett,33,776
Yuniesky Betancourt,33,777
Jerry Browne,33,778
Mark Canha,33,779
Wil Cordero,33,780
Marty Cordova,33,781
Mariano Duncan,33,782
Adam Duvall,33,783
Jim Dwyer,33,784
John Flaherty,33,785
Curt Flood,33,786
Dan Gladden,33,787
Jerry Grote,33,788
Cristian Guzman,33,789
Mickey Hatcher,33,790
Don Hoak,33,791
Alex Johnson,33,792
Lee Lacy,33,793
Mike Lum,33,794
Lee Mazzilli,33,795
Omar Moreno,33,796
Max Muncy,33,797
Phil Nevin,33,798
Troy O'Leary,33,799
Marcell Ozuna,33,800
AJ Pollock,33,801
Jody Reed,33,802
Harold Reynolds,33,803
Juan Rivera,33,804
Johnny Romano,33,805
Jerry Royster,33,806
Jonathan Schoop,33,807
Rennie Stennett,33,808
Tom Tresh,33,809
Michael Tucker,33,810
Danny Valencia,33,811
Alex Verdugo,33,812
Ty Wigginton,33,813
Tony Womack,33,814
Joel Youngblood,33,815
Bob Aspromonte,32,816
Joe Azcue,32,817
Michael Barrett,32,818
Juan Beniquez,32,819
Randy Bush,32,820
Lorenzo Cain,32,821
Ron Coomer,32,822
Deivi Cruz,32,823
Don Demeter,32,824
Mark DeRosa,32,825
Jacoby Ellsbury,32,826
Jim Gentile,32,827
Doug Glanville,32,828
Chris Gomez,32,829
Alex Gonzalez,32,830
Robbie Grossman,32,831
Jeffrey Hammonds,32,832
Mike Heath,32,833
Julian Javier,32,834
Max Kepler,32,835
Milt May,32,836
Brian McRae,32,837
Felix Millan,32,838
Rick Monday,32,839
Ryan Mountcastle,32,840
Rance Mulliniks,32,841
David Murphy,32,842
Dave Nilsson,32,843
Jose Oquendo,32,844
Jay Payton,32,845
Kevin Pillar,32,846
Jerry Remy,32,847
Duke Snider,32,848
Lee Stevens,32,849
Gus Triandos,32,850
Chris Young,32,851
Marlon Anderson,31,852
John Bateman,31,853
Kurt Bevacqua,31,854
Alec Bohm,31,855
Dave Cash,31,856
Wayne Causey,31,857
Ed Charles,31,858
Dave Collins,31,859
Tony Conigliaro,31,860
Joe Crede,31,861
Warren Cromartie,31,862
Alvin Dark,31,863
Ricky Gutierrez,31,864
Darryl Hamilton,31,865
Tommy Harper,31,866
Scott Hatteberg,31,867
Todd Hundley,31,868
Ray Jablonski,31,869
Charles Johnson,31,870
Garrett Jones,31,871
Ron Kittle,31,872
Jose Lind,31,873
Jose Lopez,31,874
Ramon Martinez,31,875
Casey McGehee,31,876
David Peralta,31,877
Jim Presley,31,878
Bip Roberts,31,879
Jorge Soler,31,880
Christian Walker,31,881
Earl Williams,31,882
Gene Woodling,31,883
Gregg Zaun,31,884
Jerry Adair,30,885
Kevin Bass,30,886
Earl Battey,30,887
Gordon Beckham,30,888
Johnny Briggs,30,889
Al Bumbry,30,890
Chris Carter,30,891
Zack Cozart,30,892
Julio Cruz,30,893
John Ellis,30,894
Oscar Gamble,30,895
Jerry Hairston,30,896
Eric Hinske,30,897
Dave Hollins,30,898
Rhys Hoskins,30,899
Pat Kelly,30,900
Mike Lamb,30,901
Matt Lawton,30,902
Mark Lemke,30,903
Keith Lockhart,30,904
Johnny Logan,30,905
John Lowenstein,30,906
Dick McAuliffe,30,907
Orlando Merced,30,908
Craig Monroe,30,909
Matt Olson,30,910
Rip Repulski,30,911
Bobby Richardson,30,912
Paul Schaal,30,913
Seth Smith,30,914
John Stearns,30,915
Eddie Taubensee,30,916
Mitch Webster,30,917
Don Wert,30,918
Bill Almon,29,919
Matty Alou,29,920
Sean Berry,29,921
Glenn Braggs,29,922
Jackie Brandt,29,923
Greg Brock,29,924
Jack Brohamer,29,925
Bill Bruton,29,926
C.J. Cron,29,927
Mike Davis,29,928
Corey Hart,29,929
Jim Hickman,29,930
Brian Hunter,29,931
Austin Jackson,29,932
Jim Landis,29,933
Jim Lefebvre,29,934
Felipe Lopez,29,935
John Mabry,29,936
Gary Matthews,29,937
Charlie Maxwell,29,938
Jim Northrup,29,939
Gregory Polanco,29,940
Wally Post,29,941
Nick Punto,29,942
Wilson Ramos,29,943
Ernest Riles,29,944
Austin Riley,29,945
Chris Sabo,29,946
Corey Seager,29,947
Andrelton Simmons,29,948
Hal Smith,29,949
Derrel Thomas,29,950
Bill Tuttle,29,951
Zoilo Versalles,29,952
Bump Wills,29,953
Maury Wills,29,954
Pete Alonso,28,955
Yonder Alonso,28,956
Alan Bannister,28,957
Ray Boone,28,958
Emil Brown,28,959
Andy Carey,28,960
Yoenis Cespedes,28,961
Willie Crawford,28,962
Rajai Davis,28,963
Bo Diaz,28,964
Dexter Fowler,28,965
Rich Gedman,28,966
Toby Hall,28,967
Danny Heep,28,968
Woodie Held,28,969
Mike Hershberger,28,970
Butch Hobson,28,971
Chris Hoiles,28,972
Nick Hundley,28,973
Butch Huskey,28,974
Lamar Johnson,28,975
Kevin Kouzmanoff,28,976
Jason Kubel,28,977
Mike LaValliere,28,978
Mark Lewis,28,979
Ryan Ludwick,28,980
Mike Marshall,28,981
Carmelo Martinez,28,982
John Milner,28,983
Wil Myers,28,984
Dioner Navarro,28,985
Otis Nixon,28,986
Rougned Odor,28,987
Mike Pagliarulo,28,988
Lenny Randle,28,989
Desi Relaford,28,990
Leon Roberts,28,991
Willie Upshaw,28,992
Pete Ward,28,993
Steve Yeager,28,994
Nick Ahmed,27,995
Willie Aikens,27,996
Steve Balboni,27,997
Glenn Beckert,27,998
Brandon Belt,27,999
Dave Bergman,27,1000
Dale Berra,27,1001
Larry Biittner,27,1002
Hank Blalock,27,1003
Russell Branyan,27,1004
Dave Chalk,27,1005
Clay Dalrymple,27,1006
Paul DeJong,27,1007
Lucas Duda,27,1008
Lenny Dykstra,27,1009
Yunel Escobar,27,1010
Maikel Franco,27,1011
Gene Freese,27,1012
Adolis García,27,1013
Carlos Gómez,27,1014
Lourdes Gurriel Jr.,27,1015
Aaron Hicks,27,1016
Randy Hundley,27,1017
Mike Ivie,27,1018
Lance Johnson,27,1019
Jacque Jones,27,1020
Aaron Judge,27,1021
Ron Karkovice,27,1022
Bobby Knoop,27,1023
Gene Larkin,27,1024
Al Martin,27,1025
Gil McDougald,27,1026
Greg Myers,27,1027
Ron Oester,27,1028
Joe Panik,27,1029
Tommy Pham,27,1030
Carlos Quentin,27,1031
Hunter Renfroe,27,1032
David Ross,27,1033
Cory Snyder,27,1034
Paul Sorrento,27,1035
Denard Span,27,1036
Daryl Spencer,27,1037
Kurt Stillwell,27,1038
Bobby Valentine,27,1039
Daryle Ward,27,1040
Preston Wilson,27,1041
Christian Yelich,27,1042
