Name,Strikeouts,Rank
Sixto Lezcano,768,688
Al Smith,768,689
Jim Landis,767,690
Kevin Pillar,767,691
Nathaniel Lowe,765,692
Brook Jacoby,764,693
Ken Henderson,763,694
Dan Wilson,763,695
José Ramírez,762,696
Jason LaRue,760,697
Don Kessinger,759,698
Logan Forsythe,757,699
Mark Kotsay,757,700
Pablo Sandoval,757,701
Mack Jones,756,702
Rabbit Maranville,756,703
Al Oliver,756,704
Ketel Marte,755,705
Gus Zernial,755,706
Tommy Davis,754,707
Bill Freehan,753,708
Chris Johnson,753,709
Kiki Cuyler,752,710
Willie Montanez,751,711
Kurt Suzuki,751,712
Chris Gomez,750,713
Juan Soto,750,714
Ron Karkovice,749,715
Ralph Kiner,749,716
Norm Siebern,748,717
Will Venable,748,718
Cesar Geronimo,746,719
Wade Boggs,745,720
Orlando Cabrera,745,721
Amed Rosario,745,722
Ronald Acuña Jr.,744,723
Ron Kittle,744,724
Luis Aparicio,742,725
Yoenis Cespedes,742,726
Jim Hegan,742,727
Manny Trillo,742,728
Richie Hebner,741,729
Brandon Lowe,741,730
Logan Morrison,740,731
Joe Randa,738,732
Jacoby Ellsbury,737,733
Richard Hidalgo,737,734
Al Simmons,737,735
Rick Dempsey,736,736
Franklin Gutierrez,736,737
AJ Pollock,736,738
David Ross,735,739
Honus Wagner,735,740
Clint Barmes,734,741
Ramon Hernandez,734,742
Roger Maris,733,743
Marty Cordova,730,744
Chuck Knoblauch,730,745
Jose Vizcaino,729,746
Reed Johnson,728,747
Darren Daulton,726,748
Steve Yeager,726,749
Mark Bellhorn,723,750
Eddie Bressoud,723,751
Dan Ford,722,752
Travis d'Arnaud,721,753
Buster Posey,721,754
Cy Williams,721,755
Hank Blalock,720,756
Dan Driessen,719,757
Del Ennis,719,758
Cliff Johnson,719,759
Carney Lansford,719,760
Kevin Mitchell,719,761
Phil Bradley,718,762
Brandon Drury,718,763
John Mabry,717,764
Jon Jay,716,765
Denard Span,716,766
Jorge Orta,715,767
Mike Yastrzemski,715,768
David Dellucci,714,769
Mickey Morandini,714,770
Hank Sauer,714,771
Harlond Clift,713,772
Hack Wilson,713,773
Jody Davis,712,774
Nick Esasky,712,775
Mark Whiten,712,776
Roy McMillan,711,777
Michael Saunders,711,778
Al Bumbry,709,779
Daniel Murphy,709,780
Fernando Tatis,709,781
Ted Williams,709,782
Tom Brown,708,783
Bernard Gilkey,708,784
Billy Hamilton,708,785
Roy White,708,786
Aaron Boone,707,787
Mark DeRosa,707,788
Kevin McReynolds,707,789
Felipe Alou,706,790
Tony Gonzalez,706,791
Bill Mazeroski,706,792
Travis Lee,704,793
Tom Paciorek,704,794
Joe Gordon,702,795
Cleon Jones,702,796
Todd Hollandsworth,701,797
John Kruk,701,798
Joe Cronin,700,799
Mike Macfarlane,700,800
Scott Brosius,699,801
Anthony Santander,699,802
Tom Tresh,698,803
John Vander Wal,698,804
Gabby Hartnett,697,805
Ozzie Albies,696,806
Mike Easler,696,807
Hector Lopez,696,808
Stan Musial,696,809
Max Carey,695,810
Jurickson Profar,695,811
Wally Berger,694,812
Jeff Cirillo,694,813
Tito Francona,694,814
