Name,Percent,Raw,Rank
Luis Gonzalez,13.3,13.3013,591
Kirby Puckett,13.3,13.3214,592
Gil McDougald,13.3,13.3234,593
Daniel Murphy,13.4,13.3572,594
Eddie Murray,13.4,13.3733,595
John Valentin,13.4,13.3776,596
John Olerud,13.4,13.3825,597
Miguel Rojas,13.4,13.3998,598
Davey Lopes,13.4,13.4089,599
Johnny Grubb,13.4,13.4328,600
Jay Johnstone,13.4,13.4382,601
Wally Berger,13.4,13.4418,602
Denard Span,13.4,13.4435,603
Dave Collins,13.5,13.4502,604
Graig Nettles,13.5,13.4543,605
José Ramírez,13.5,13.4724,606
Kurt Suzuki,13.5,13.4999,607
Shane Victorino,13.5,13.5205,608
Bill Mueller,13.5,13.5212,609
Mark Grudzielanek,13.5,13.5281,610
Rocky Colavito,13.5,13.5322,611
Jim Northrup,13.5,13.5337,612
Mike Lieberthal,13.5,13.5372,613
Jerry Priddy,13.5,13.5381,614
Alex Johnson,13.5,13.541,615
Tito Francona,13.6,13.552,616
Jose Vizcaino,13.6,13.5527,617
Bob Horner,13.6,13.5557,618
José Iglesias,13.6,13.5581,619
Otis Nixon,13.6,13.5679,620
Mel Hall,13.6,13.5709,621
Jeff Heath,13.6,13.571,622
Tony Gonzalez,13.6,13.59,623
Joe Randa,13.6,13.5962,624
Dave Concepcion,13.6,13.5962,625
Jimmy Rollins,13.6,13.6002,626
Ken Boyer,13.6,13.6419,627
Del Rice,13.6,13.6435,628
Dave May,13.7,13.6512,629
Michael Barrett,13.7,13.6674,630
Sam Chapman,13.7,13.6728,631
Jeff King,13.7,13.7025,632
Hal Morris,13.7,13.7069,633
Carlos May,13.7,13.7136,634
Tony Lazzeri,13.7,13.7208,635
Phil Garner,13.7,13.7223,636
Keith Hernandez,13.7,13.7313,637
Mike Lansing,13.7,13.7349,638
Jim King,13.7,13.7423,639
Tommy McCraw,13.8,13.7513,640
Ken Berry,13.8,13.7573,641
Don Slaught,13.8,13.7583,642
Bud Harrelson,13.8,13.7648,643
John Milner,13.8,13.766,644
Don Wert,13.8,13.776,645
Jerry Mumphrey,13.8,13.7793,646
Kevin Bass,13.8,13.8045,647
Vic Wertz,13.8,13.8055,648
Chris Speier,13.8,13.8066,649
