Name,IBB,Rank
Steve Jeltz,32,785
Ray Lamanno,32,786
Candy Maldonado,32,787
Charlie Maxwell,32,788
Dan Meyer,32,789
Matt Nokes,32,790
Dick Siebert,32,791
Harry Simpson,32,792
Mickey Stanley,32,793
Billy Sullivan,32,794
Bill Terry,32,795
Derrel Thomas,32,796
John Vander Wal,32,797
Gee Walker,32,798
Jayson Werth,32,799
Devon White,32,800
Jerry Adair,31,801
Pedro Alvarez,31,802
Rod Barajas,31,803
Ken Berry,31,804
Steve Buechele,31,805
Enos Cabell,31,806
Yoenis Cespedes,31,807
Joe Cunningham,31,808
Don Demeter,31,809
Delino DeShields,31,810
Darrin Fletcher,31,811
Hank Foiles,31,812
Curtis Granderson,31,813
Bud Harrelson,31,814
Ron Hassey,31,815
Gil Hodges,31,816
Jack Howell,31,817
Mack Jones,31,818
Jason Kubel,31,819
Mike Lamb,31,820
Gene Larkin,31,821
Jerry Lynch,31,822
Ray Mack,31,823
Hank Majeski,31,824
Mike Napoli,31,825
Troy O'Leary,31,826
Wally Post,31,827
Kevin Seitzer,31,828
Scott Servais,31,829
Richie Sexson,31,830
Al Smith,31,831
Terry Steinbach,31,832
Jim Sundberg,31,833
Kyle Tucker,31,834
Michael Tucker,31,835
Earl Williams,31,836
Bob Allison,30,837
Derek Bell,30,838
Russell Branyan,30,839
Dick Brown,30,840
Al Bumbry,30,841
Ivan Calderon,30,842
Roy Campanella,30,843
Dick Dietz,30,844
Johnny Estrada,30,845
Al Evans,30,846
Jim Gilliam,30,847
Jose Guillen,30,848
Tommy Harper,30,849
Charlie Hayes,30,850
Chase Headley,30,851
Clyde Kluttz,30,852
John Lowenstein,30,853
Phil Nevin,30,854
Ed Ott,30,855
Anthony Rendon,30,856
Cookie Rojas,30,857
David Ross,30,858
Red Schoendienst,30,859
Bob Swift,30,860
Tom Tresh,30,861
Alex Trevino,30,862
Hal Wagner,30,863
Brad Wilkerson,30,864
Kolten Wong,30,865
Joel Youngblood,30,866
Gregg Zaun,30,867
Mike Aldrete,29,868
Yonder Alonso,29,869
Ken Boswell,29,870
Ed Bouchee,29,871
Rico Brogna,29,872
Marlon Byrd,29,873
Bruce Campbell,29,874
Vic Davalillo,29,875
Corey Dickerson,29,876
Tim Foli,29,877
Barry Foote,29,878
Marc Hill,29,879
Eric Hinske,29,880
Chris Iannetta,29,881
Charles Johnson,29,882
Lance Johnson,29,883
Fred Kendall,29,884
Danny Litwhiler,29,885
Lee Maye,29,886
Mark McLemore,29,887
Bill Melton,29,888
Dan Pasqua,29,889
Vic Power,29,890
Jody Reed,29,891
Ellie Rodriguez,29,892
Rey Sanchez,29,893
Art Shamsky,29,894
Eddie Taubensee,29,895
Gary Thomasson,29,896
Jeff Torborg,29,897
Denny Walling,29,898
Matt Wieters,29,899
Marlon Anderson,28,900
Henry Blanco,28,901
Dave Cash,28,902
Michael Conforto,28,903
Tony Conigliaro,28,904
Carlos Correa,28,905
Al Cowens,28,906
Kal Daniels,28,907
Daniel Descalso,28,908
Ryan Doumit,28,909
Jake Early,28,910
Gene Freese,28,911
Dave Hollins,28,912
Jackie Jensen,28,913
Felix Jose,28,914
Matt Joyce,28,915
Peanuts Lowrey,28,916
Kirt Manwaring,28,917
Bake McBride,28,918
Jose Morales,28,919
Rance Mulliniks,28,920
Greg Myers,28,921
Bill North,28,922
Don Padgett,28,923
Ken Phelps,28,924
Jerry Priddy,28,925
Don Slaught,28,926
Chad Tracy,28,927
Greg Walker,28,928
Gary Ward,28,929
Mitch Webster,28,930
Tony Batista,27,931
Dick Bertell,27,932
Dom Dallessandro,27,933
Rob Deer,27,934
Erubiel Durazo,27,935
Odell Hale,27,936
Dave Hansen,27,937
Brian Harper,27,938
Scott Hatteberg,27,939
Jason Heyward,27,940
Chuck Hinton,27,941
Billy Johnson,27,942
Bob Kennedy,27,943
Jeff King,27,944
Casey Kotchman,27,945
Duane Kuiper,27,946
Tom Lampkin,27,947
Ketel Marte,27,948
Joc Pederson,27,949
Phil Plantier,27,950
Pat Putnam,27,951
Lenny Randle,27,952
Roger Repoz,27,953
Johnny Romano,27,954
Tom Satriano,27,955
Tony Scott,27,956
Sammy Taylor,27,957
Bobby Tolan,27,958
George Vukovich,27,959
Neil Walker,27,960
Frank White,27,961
Sammy White,27,962
Willie Wilson,27,963
Don Zimmer,27,964
Tommie Agee,26,965
Luis Alicea,26,966
Rafael Belliard,26,967
Barry Bonnell,26,968
Justin Bour,26,969
Larry Brown,26,970
Asdrubal Cabrera,26,971
Orlando Cabrera,26,972
Lenny Harris,26,973
Gene Hermanski,26,974
Ron Hodges,26,975
Monte Irvin,26,976
Brook Jacoby,26,977
Stan Javier,26,978
Pete LaCock,26,979
Lee Lacy,26,980
Johnny Logan,26,981
Frank Malzone,26,982
Gary Matthews,26,983
Derrick May,26,984
Bengie Molina,26,985
Mike Moustakas,26,986
Don Mueller,26,987
Bob Oliver,26,988
Don Pavletich,26,989
Wilson Ramos,26,990
Dave Revering,26,991
Mark Reynolds,26,992
R.J. Reynolds,26,993
Brian Roberts,26,994
Andre Rodgers,26,995
Kelly Stinnett,26,996
Zoilo Versalles,26,997
Maury Wills,26,998
Max Alvis,25,999
Mike Anderson,25,1000
Richie Ashburn,25,1001
David Bell,25,1002
Jay Bell,25,1003
Jeff Branson,25,1004
Paul Casanova,25,1005
Wayne Causey,25,1006
Gordy Coleman,25,1007
Eduardo Escobar,25,1008
Billy Goodman,25,1009
Jim Gosger,25,1010
Ozzie Guillen,25,1011
Joe Harris,25,1012
Danny Heep,25,1013
Richard Hidalgo,25,1014
Reggie Jefferson,25,1015
Brian Jordan,25,1016
Pat Kelly,25,1017
Steve Kemp,25,1018
Hal Lanier,25,1019
Eli Marrero,25,1020
Carmelo Martinez,25,1021
Logan Morrison,25,1022
Tom Paciorek,25,1023
Dustin Pedroia,25,1024
Gregory Polanco,25,1025
Bama Rowell,25,1026
Mackey Sasser,25,1027
Jean Segura,25,1028
Cory Snyder,25,1029
Daryl Spencer,25,1030
Mike Stanley,25,1031
John Stearns,25,1032
Ed Stevens,25,1033
Jim Tabor,25,1034
Hank Thompson,25,1035
Will Venable,25,1036
Omar Vizquel,25,1037
Jack Wilson,25,1038
