Name,Sacrifice Flies,Rank
Rougned Odor,28,
Mike Pagliarulo,28,
Lenny Randle,28,
Desi Relaford,28,
Leon Roberts,28,
Willie Upshaw,28,
Pete Ward,28,
Steve Yeager,28,
Nick Ahmed,27,995
Willie Aikens,27,
Steve Balboni,27,
Glenn Beckert,27,
Brandon Belt,27,
Dave Bergman,27,1000
Dale Berra,27,
Larry Biittner,27,
Hank Blalock,27,
Russell Branyan,27,
Dave Chalk,27,
Clay Dalrymple,27,
Paul DeJong,27,
Lucas Duda,27,
Lenny Dykstra,27,
Yunel Escobar,27,
Maikel Franco,27,
Gene Freese,27,
Adolis García,27,
Carlos Gómez,27,
Lourdes Gurriel Jr.,27,
Aaron Hicks,27,
Randy Hundley,27,
Mike Ivie,27,
Lance Johnson,27,
Jacque Jones,27,
Aaron Judge,27,
Ron Karkovice,27,
Bobby Knoop,27,
Gene Larkin,27,
Al Martin,27,
Gil McDougald,27,
Greg Myers,27,
Ron Oester,27,
Joe Panik,27,
Tommy Pham,27,
Carlos Quentin,27,
Hunter Renfroe,27,
David Ross,27,
Cory Snyder,27,
Paul Sorrento,27,
Denard Span,27,
Daryl Spencer,27,
Kurt Stillwell,27,
Bobby Valentine,27,
Daryle Ward,27,
Preston Wilson,27,
Christian Yelich,27,
