Name,Batting Average,Rank
Scott Podsednik,.281 (.28059),549
Starlin Castro,.281 (.28059),
Cleon Jones,.281 (.28055),551
Rafael Furcal,.281 (.28053),552
Bobby Avila,.281 (.28052),553
David Eckstein,.280 (.28050),554
Terry Moore,.280 (.28043),555
Alvin Davis,.280 (.28042),556
Jimmy Dykes,.280 (.28039),557
Terry Puhl,.280 (.28033),558
A.J. Pierzynski,.280 (.28025),559
Joe Dugan,.280 (.28022),560
Steve Henderson,.280 (.28014),561
Mickey Hatcher,.280 (.28013),562
Manny Machado,.280 (.28010),563
Corey Dickerson,.280 (.28003),564
Anthony Rendon,.280 (.28000),565
Jack Rowe,.280 (.27996),566
Candy LaChance,.280 (.27993),567
Angel Pagan,.280 (.27987),568
Jesus Alou,.280 (.27986),569
Carlos Delgado,.280 (.27983),570
Tony Cuccinello,.280 (.27959),571
Tommy Griffith,.280 (.27956),572
Buddy Bell,.279 (.27949),573
Hank Majeski,.279 (.27945),574
Andre Dawson,.279 (.27944),575
Rusty Staub,.279 (.27942),576
Johnny Groth,.279 (.27941),577
Jackie Jensen,.279 (.27941),
Tony Perez,.279 (.27940),579
Roger Bresnahan,.279 (.27940),
Wes Covington,.279 (.27938),581
Gus Suhr,.279 (.27937),582
Reed Johnson,.279 (.27934),583
Whit Merrifield,.279 (.27932),584
Vic Davalillo,.279 (.27931),585
David Justice,.279 (.27929),586
Felix Millan,.279 (.27923),587
Keith Moreland,.279 (.27920),588
Willie Davis,.279 (.27916),589
Whitey Lockman,.279 (.27912),590
John Valentin,.279 (.27904),591
Dave Bancroft,.279 (.27903),592
Carlos Beltran,.279 (.27897),593
Hunter Pence,.279 (.27897),
Paul Konerko,.279 (.27880),595
Ralph Kiner,.279 (.27877),596
Ryan Klesko,.279 (.27874),597
Patsy Tebeau,.279 (.27872),598
Rickey Henderson,.279 (.27872),
Bobby Bonilla,.279 (.27866),600
Mark Koenig,.279 (.27862),601
Chris Chambliss,.279 (.27856),602
Sam Mertes,.279 (.27855),603
Jay Payton,.279 (.27853),604
Mike Lowell,.279 (.27851),605
Rafael Devers,.278 (.27850),606
David Peralta,.278 (.27841),607
Dick Hoblitzell,.278 (.27837),608
Dusty Baker,.278 (.27835),609
Aubrey Huff,.278 (.27834),610
Skip Schumaker,.278 (.27829),611
Red Smith,.278 (.27822),612
Ray Chapman,.278 (.27820),613
Max Flack,.278 (.27818),614
Jim Ray Hart,.278 (.27809),615
Cliff Floyd,.278 (.27806),616
Steve Kemp,.278 (.27797),617
George Bell,.278 (.27797),
Mike Mitchell,.278 (.27790),619
Ken Oberkfell,.278 (.27780),620
Johnny Bates,.278 (.27779),621
J.D. Drew,.278 (.27779),
Jorge Orta,.278 (.27775),623
George Hendrick,.278 (.27774),624
Cesar Tovar,.278 (.27761),625
Claudell Washington,.278 (.27759),626
Johnny Grubb,.278 (.27756),627
Hoot Evers,.278 (.27756),
Pablo Sandoval,.278 (.27750),629
Doug Glanville,.277 (.27750),
Bob Skinner,.277 (.27744),631
Ryan Zimmerman,.277 (.27743),632
Vic Wertz,.277 (.27742),633
Yadier Molina,.277 (.27734),634
Michael Cuddyer,.277 (.27733),635
Joe Adcock,.277 (.27732),636
Ray Durham,.277 (.27727),637
Marco Scutaro,.277 (.27727),
Bob Horner,.277 (.27720),639
Melvin Mora,.277 (.27720),
Joey Cora,.277 (.27718),641
Jerry Lynch,.277 (.27718),
Herman Long,.277 (.27717),643
Orlando Merced,.277 (.27714),644
Fred Luderus,.277 (.27706),645
Joe Kuhel,.277 (.27705),646
Chick Gandil,.277 (.27703),647
David Freese,.277 (.27701),648
Alex Rios,.277 (.27699),649
Jacque Jones,.277 (.27688),650
Dolph Camilli,.277 (.27685),651
Art Fletcher,.277 (.27685),
Torii Hunter,.277 (.27684),653
Ron Santo,.277 (.27680),654
Hank Bauer,.277 (.27677),655
Amos Otis,.277 (.27675),656
Harry Davis,.277 (.27672),657
Enos Cabell,.277 (.27671),658
Bobby Murcer,.277 (.27667),659
Adam Jones,.277 (.27664),660
Deacon McGuire,.277 (.27664),
Jason Giambi,.277 (.27659),662
Leon Durham,.277 (.27655),663
Lou Whitaker,.276 (.27643),664
