Name,GIDP,Rank
Garrett Atkins,94,
Pat Borders,94,
Harry Danning,94,
JosÃ© Iglesias,94,
Mark Lemke,94,
Jed Lowrie,94,
Dal Maxvill,94,
Pat Meares,94,
Bill Melton,94,
Mickey Morandini,94,
Anthony Rendon,94,
Andy Van Slyke,94,
Pinky Whitney,94,
Larry Biittner,93,855
Johnny Damon,93,
Mark DeRosa,93,
Mariano Duncan,93,
Carlos GonzÃ¡lez,93,
Gabby Hartnett,93,
Gil McDougald,93,
George McQuinn,93,
Raul Mondesi,93,
Xavier Nady,93,
Joe Oliver,93,
Rey Ordonez,93,
Neifi Perez,93,
Wally Post,93,
Lee Stevens,93,
Chase Utley,93,
Danny Valencia,93,
Steve Yeager,93,
Rafael Devers,92,873
Joe Dugan,92,
Woodie Held,92,
Randy Hundley,92,
John Kruk,92,
Vance Law,92,
Travis Lee,92,
Dwayne Murphy,92,
Tom Paciorek,92,
Freddie Patek,92,
Rick Reichardt,92,
Connie Ryan,92,
Hal Smith,92,
Ichiro Suzuki,92,
Jim Tabor,92,
Zoilo Versalles,92,
Maury Wills,92,
Orlando Arcia,91,890
Milton Bradley,91,
Ed Charles,91,
Travis d'Arnaud,91,
Joe DeMaestri,91,
Marwin Gonzalez,91,
Rusty Greer,91,
Chuck Hinton,91,
Bobby Knoop,91,
Johnny Lindell,91,
Dave May,91,
Gerald Perry,91,
Juan Pierre,91,
Luis Polonia,91,
Amed Rosario,91,
Bobby Tolan,91,
Hal Trosky,91,
John Valentin,91,
Ken Boswell,90,908
Michael Conforto,90,
Coco Crisp,90,
Jim Gilliam,90,
Greg Gross,90,
Jon Jay,90,
Terrence Long,90,
Wil Myers,90,
Rip Repulski,90,
Jerry Royster,90,
Corey Seager,90,
Eric Soderholm,90,
Burgess Whitehead,90,
Willie Wilson,90,
Mike Aviles,89,922
Gordon Beckham,89,
Gino Cimoli,89,
Brian Dozier,89,
Mark Ellis,89,
Ty France,89,
Glenallen Hill,89,
Omar Infante,89,
MartÃ­n Maldonado,89,
Orlando Merced,89,
Don Mincher,89,
Kevin Mitchell,89,
Trevor Plouffe,89,
Brian Schneider,89,
John Wathan,89,
Rube Bressler,88,937
David Eckstein,88,
Felix Fermin,88,
Chico Fernandez,88,
Adeiny HechavarrÃ­a,88,
Richard Hidalgo,88,
John Mabry,88,
Jack Wilson,88,
Willie Aikens,87,945
Joe Azcue,87,
Hank Blalock,87,
Alec Bohm,87,
Darin Erstad,87,
Cristian Guzman,87,
Tommy Harper,87,
Corey Hart,87,
Cesar Izturis,87,
Chris Johnson,87,
Ruppert Jones,87,
Jeff Keppinger,87,
Trey Mancini,87,
Cameron Maybin,87,
Clyde McCullough,87,
Brian McRae,87,
John Milner,87,
Ryan Theriot,87,
Josh Willingham,87,
Gregg Zaun,87,
Geoff Blum,86,965
John Buck,86,
Joe Ferguson,86,
Alfredo Griffin,86,
Kelly Gruber,86,
Travis Hafner,86,
Eric Hinske,86,
Roy Howell,86,
Cliff Johnson,86,
Lee Lacy,86,
Cookie Lavagetto,86,
Danny Litwhiler,86,
Ketel Marte,86,
Denard Span,86,
Mickey Tettleton,86,
Mike Easler,85,980
Cliff Floyd,85,
Cito Gaston,85,
Pete Incaviglia,85,
Charlie Neal,85,
Gary Sutherland,85,
Tim Teufel,85,
Lee Thomas,85,
Scott Brosius,84,988
Dave Chalk,84,
Mark Christman,84,
Mike Devereaux,84,
J.D. Drew,84,
Andy Etchebarren,84,
Rafael Furcal,84,
Dave Martinez,84,
Gorman Thomas,84,
Al Todd,84,
Bill Virdon,84,
Richie Ashburn,83,999
Alex Avila,83,1000
Mark Belanger,83,
Barry Bonnell,83,
Jim Busby,83,
Billy Cox,83,
Elias DÃ­az,83,
Yandy DÃ­az,83,
Bob Dillinger,83,
Carl Everett,83,
Freddy Galvis,83,
Billy Gardner,83,
Dave Henderson,83,
Bobby Higginson,83,
Glenn Hubbard,83,
Chris Iannetta,83,
Eddie Joost,83,
Fred Kendall,83,
James McCann,83,
Mike Morse,83,
Russ Nixon,83,
Wes Parker,83,
Mike Redmond,83,
Jerry Remy,83,
