Name,Strikeouts,Rank
Joe Rudi,870,538
Bill Skowron,870,
Eddie Rosario,869,540
Mickey Vernon,869,
Toby Harrah,868,542
Rudy York,867,543
Don Money,866,544
Mookie Wilson,866,
Coco Crisp,865,546
Alcides Escobar,864,547
Tony Lazzeri,864,
Candy Maldonado,864,
Pedro Guerrero,862,550
Roberto Kelly,862,
Jason Thompson,862,
Rich Aurilia,861,553
Jim Presley,859,554
Jeimer Candelario,857,555
Steve Balboni,856,556
Terry Kennedy,855,557
Lorenzo Cain,854,558
Juan Encarnacion,853,559
Freddy Galvis,853,
Corey Hart,853,
Denis Menke,853,
Randy Velarde,853,
Tyler Flowers,852,564
Davey Lopes,852,
Ben Oglivie,852,
Magglio Ordonez,852,
Bob Johnson,851,568
Andre Thornton,851,
Luis Castillo,850,570
Jimmy Dykes,850,
Gary Matthews,849,572
Lonnie Smith,849,
Aaron Hill,847,574
James McCann,847,
Matt Wieters,847,
Tony Pena,846,577
Ed Brinkman,845,578
Glenallen Hill,845,
Rajai Davis,844,580
Hank Greenberg,844,
Brian Roberts,844,
Paul Sorrento,844,
Max Kepler,843,584
Steve Buechele,842,585
Phil Garner,842,
Brian Jordan,842,
Vic Wertz,842,
Mark Canha,841,589
Bo Jackson,841,
Bobby Murcer,841,
Billy Butler,840,592
Mark Belanger,839,593
Stan Javier,839,
Adam Kennedy,839,
B.J. Surhoff,839,
David DeJesus,838,597
Kevin Millar,838,
Vince DiMaggio,837,599
Brian Giles,835,600
Jason Kubel,834,601
Bobby Knoop,833,602
Ed Sprague,833,
Chone Figgins,832,604
Jim Hickman,832,
Lee Stevens,832,
Corey Seager,829,607
Bill Nicholson,828,608
Christian Walker,828,
Kevin Youkilis,828,
Eddie Joost,827,611
Orlando Hudson,825,612
Wally Joyner,825,
Brian McRae,824,614
Jean Segura,824,
Bill Robinson,820,616
Jack Cust,819,617
Milton Bradley,817,618
Ruppert Jones,817,
Barry Larkin,817,
Mike Lowell,817,
Ken McMullen,815,622
Enrique Hernández,814,623
Wally Post,813,624
Bryan Reynolds,813,
Marwin Gonzalez,812,626
Julian Javier,812,
Adolis García,810,628
Brad Hawpe,810,
Nick Hundley,810,
Mike Marshall,810,
John Mayberry,810,
Zoilo Versalles,810,
Jorge Polanco,809,634
Jose Cardenal,807,635
Carlos Guillen,804,636
Von Hayes,804,
Bobby Thomson,804,
Henry Rodriguez,803,639
Mark Ellis,801,640
Mike Bordick,800,641
Cody Ross,800,
Frankie Crosetti,799,643
Corey Dickerson,799,
Kent Hrbek,798,645
Ronnie Belliard,797,646
Seth Smith,797,
Bobby Higginson,796,648
Bob Watson,796,
Corey Koskie,795,650
Trey Mancini,795,
Mike Matheny,795,
Andrew Benintendi,794,653
Bill Bruton,793,654
Larry Herndon,793,
Aaron Hicks,793,
Josh Reddick,791,657
Tony Batista,790,658
Lou Gehrig,790,
Luis Valbuena,788,660
Jim Lemon,787,661
Freddie Patek,787,
Elston Howard,786,663
Johnny Briggs,785,664
Dick Green,785,
Mike Pagliarulo,785,
Tony Fernandez,784,667
Ben Grieve,784,
Delmon Young,784,
Cristian Guzman,783,670
Garry Maddox,781,671
Gleyber Torres,781,
Andy Seminick,780,673
Hal McRae,779,674
Anthony Rendon,779,
Buddy Bell,776,676
Omar Infante,776,
Don Lock,776,
