Name,Sacrifice Hits,Rank
Glenn Hubbard,70,
Walter Johnson,70,
Mike Krukow,70,
Tim Lincecum,70,
Billy Myers,70,
Rey Ordonez,70,
Billy Purtell,70,
Ken Raffensberger,70,
Eddie Rommel,70,
Sibby Sisti,70,
Jose Valentin,70,
Jack Billingham,69,727
Tony Boeckel,69,
Jamey Carroll,69,
Bill Cissell,69,
Don Drysdale,69,
Chone Figgins,69,
Mike Gallego,69,
Brett Gardner,69,
Mike Gonzalez,69,
Mel Harder,69,
Tommy Holmes,69,
Chuck Klein,69,
Bill Lamar,69,
Jose Lind,69,
Baldy Louden,69,
Christy Mathewson,69,
Bill Monbouquette,69,
Claude Osteen,69,
Tony Phillips,69,
Jerry Royster,69,
Ed Sweeney,69,
Jimmy Walsh,69,
Erick Aybar,68,749
Wally Backman,68,
Jim Barr,68,
Del Crandall,68,
Frank Duffy,68,
Lefty Gomez,68,
Ramon Martinez,68,
Minnie Minoso,68,
Jack O'Connor,68,
Tony Pena,68,
Warren Spahn,68,
Cotton Tierney,68,
Charlie Carr,67,761
Chico Carrasquel,67,
Eddie Cicotte,67,
Aaron Cook,67,
Jimmy Cooney,67,
Birdie Cree,67,
Ray Culp,67,
Sid Fernandez,67,
Tony Fernandez,67,
Phil Garner,67,
Hank Gowdy,67,
Ken Hill,67,
Stan Javier,67,
Phil Lewis,67,
Derek Lowe,67,
Simon Nicholls,67,
Otis Nixon,67,
Spike Owen,67,
Dick Padden,67,
Jeff Suppan,67,
Frank Taveras,67,
Julio Teheran,67,
Ike Caveney,66,783
Doug Drabek,66,
Bob Elliott,66,
Kevin Gross,66,
Roy Hughes,66,
Fergie Jenkins,66,
Randy Jones,66,
Rick Mahler,66,
Hervey McClellan,66,
Scott Sanderson,66,
Gee Walker,66,
John Anderson,65,794
Sal Bando,65,
Tommy Bridges,65,
Ron Darling,65,
Cozy Dolan,65,
Hoot Evers,65,
Chick Fewster,65,
Whitey Ford,65,
Del Gainer,65,
Bill Hunnefield,65,
Ron Karkovice,65,
Bob Kennedy,65,
Dolf Luque,65,
Dennis Martinez,65,
Mike Matheny,65,
Hap Myers,65,
Gary Pettis,65,
Joe Quinn,65,
Hal Rhyne,65,
Joe Rudi,65,
Nolan Ryan,65,
Del Unser,65,
Elmer Valo,65,
George Van Haltren,65,
Burgess Whitehead,65,
Ken Berry,64,819
Harry Blake,64,
Dave Collins,64,
Tom Daly,64,
Joe Dobson,64,
Steve Evans,64,
Cole Hamels,64,
Dick Harley,64,
Arnold Hauser,64,
Hugh High,64,
Omar Infante,64,
Bobby Jones,64,
Whitey Lockman,64,
Julio Lugo,64,
Denny McLain,64,
Eric McNair,64,
Ray Mueller,64,
Ray Powell,64,
Jack Rothrock,64,
Jimmy Ryan,64,
Bobby Tolan,64,
Cecil Travis,64,
Bob Unglaub,64,
Bucky Walters,64,
Willie Wilson,64,
Tony Bernazard,63,844
Lew Burdette,63,
John Castino,63,
Dave Chalk,63,
Deivi Cruz,63,
Curt Davis,63,
Rick Dempsey,63,
John Denny,63,
Tommy Dowd,63,
Lou Finney,63,
Woodie Fryman,63,
John Ganzel,63,
Bill Gullickson,63,
Mike Hampton,63,
Johnny Hodapp,63,
Pete Kilduff,63,
Vern Law,63,
Pedro Martinez,63,
Cass Michaels,63,
Corey Patterson,63,
Nick Punto,63,
Vic Raschi,63,
Del Rice,63,
Preacher Roe,63,
Juan Uribe,63,
Bobby Wine,63,
Don Blasingame,62,870
John Burkett,62,
Billy Cox,62,
Klondike Douglass,62,
Augie Galan,62,
Ralph Garr,62,
Doc Gessler,62,
Wally Gilbert,62,
Aaron Harang,62,
Pete Harnisch,62,
Woody Jensen,62,
Russ Meyer,62,
Eddie Miksis,62,
Ricky Nolasco,62,
Fred Norman,62,
Lenny Randle,62,
Chick Shorten,62,
Burt Shotton,62,
Earl Smith,62,
Lon Warneke,62,
Gary Bell,61,890
Harry Bemis,61,
Moe Berg,61,
Guy Bush,61,
Dean Chance,61,
Billy Clingman,61,
Alex Cora,61,
Vern Duncan,61,
Doc Farrell,61,
Mark Gardner,61,
Don Gutteridge,61,
Johnny Hopp,61,
Mike LaCoss,61,
Jim Landis,61,
Rick Manning,61,
Pinky May,61,
Fred McMullin,61,
Mickey Morandini,61,
Jamie Moyer,61,
Harry Niles,61,
Jeff Reboulet,61,
Tommy Thomas,61,
Ismael Valdez,61,
Devon White,61,
Neal Ball,60,914
Clint Barmes,60,
Jimmy Barrett,60,
Buddy Bell,60,
Larry Brown,60,
Boileryard Clarke,60,
Brian Downing,60,
Chico Fernandez,60,
Doug Flynn,60,
Wilbur Good,60,
Tommy Henrich,60,
John Henry,60,
Tom Herr,60,
Tim Hudson,60,
Alex McCarthy,60,
Rick Miller,60,
Brett Myers,60,
Ollie O'Mara,60,
Russ Ortiz,60,
Ed Phelps,60,
Doc Powers,60,
Lance Richbourg,60,
Joe Schultz,60,
Johnny Vander Meer,60,
Al Benton,59,938
Tom Brookens,59,
A.J. Burnett,59,
Mark Ellis,59,
Carl Furillo,59,
Jesse Haines,59,
Charlie Hickman,59,
Barry Larkin,59,
Quinton McCracken,59,
Johnny Mokan,59,
Mike Morgan,59,
Fritz Peterson,59,
Mike Scott,59,
Bob Swift,59,
Zack Taylor,59,
Bob Welch,59,
Bobby Young,59,
Glenn Beckert,58,955
Rafael Belliard,58,
Bert Daniels,58,
Freddie Fitzsimmons,58,
Howard Freigau,58,
Mike Garcia,58,
Chris Gomez,58,
Ed Hahn,58,
Odell Hale,58,
Darryl Hamilton,58,
Dick Howser,58,
Larry Jackson,58,
Phil Masi,58,
Frank McCormick,58,
Beauty McGowan,58,
Dave McNally,58,
Larry Milbourne,58,
Rob Picciolo,58,
Ron Reed,58,
Ed Reulbach,58,
Allie Reynolds,58,
Jose Rijo,58,
Swede Risberg,58,
Slim Sallee,58,
Boss Schmidt,58,
Mario Soto,58,
Roxy Walters,58,
John Warner,58,
Randy Winn,58,
Butch Wynegar,58,
Whitey Alperman,57,985
Mike Benjamin,57,
Jim Busby,57,
Orlando Cabrera,57,
Craig Counsell,57,
Johnny Damon,57,
Gene Desautels,57,
Delino DeShields,57,
Dom DiMaggio,57,
Jake Flowers,57,
Doug Glanville,57,
