Name,IBB,Rank
Alfredo Griffin,37,
Chick Hafey,37,
Larry Hisle,37,
Jacque Jones,37,
Johnnie LeMaster,37,
Sixto Lezcano,37,
Gus Mancuso,37,
Cass Michaels,37,
Rafael Ramirez,37,
Willie Randolph,37,
Aurelio Rodriguez,37,
Luis Salazar,37,
Don Wert,37,
Babe Young,37,
Paul Bako,36,669
Gus Bell,36,
Brandon Belt,36,
Dave Bergman,36,
Larry Biittner,36,
Andujar Cedeno,36,
Michael Cuddyer,36,
Vladimir Guerrero Jr.,36,
Jim Hickman,36,
Bobby Higginson,36,
Don Hoak,36,
Ted Kubiak,36,
Francisco Lindor,36,
Jo-Jo Moore,36,
Magglio Ordonez,36,
Dave Philley,36,
Chris Snyder,36,
Elmer Valo,36,
Daryle Ward,36,
Mookie Wilson,36,
Tucker Barnhart,35,689
Todd Benzinger,35,
Mookie Betts,35,
Charlie Blackmon,35,
Bob Brenly,35,
Chris Cannizzaro,35,
Wil Cordero,35,
Craig Counsell,35,
Roy Cullenbine,35,
Tim Flannery,35,
Ray Fosse,35,
Jimmie Hall,35,
Jim King,35,
Hobie Landrith,35,
Travis Lee,35,
Hideki Matsui,35,
Ken O'Dea,35,
Phil Rizzuto,35,
Kyle Seager,35,
Scott Spiezio,35,
Lee Thomas,35,
Manny Trillo,35,
Jose Vidro,35,
Ben Zobrist,35,
Javier Báez,34,713
Geoff Blum,34,
Royce Clayton,34,
Harry Danning,34,
Ray Durham,34,
Leo Durocher,34,
Jim Dwyer,34,
Joe Girardi,34,
Dick Green,34,
Wayne Gross,34,
Billy Herman,34,
Mike Ivie,34,
Eddie Joost,34,
Howie Kendrick,34,
Matt Lawton,34,
Mike Lieberthal,34,
Roger Metzger,34,
Doug Mientkiewicz,34,
Mitch Moreland,34,
Jose Offerman,34,
Joe Orsulak,34,
Tom Pagnozzi,34,
Gerald Perry,34,
Brandon Phillips,34,
Craig Reynolds,34,
Rafael Santana,34,
Duke Sims,34,
Grady Sizemore,34,
Dick Stuart,34,
Cecil Travis,34,
Todd Walker,34,
Fred Whitfield,34,
Woody Woodward,34,
Frank Bolling,33,746
Ellis Burks,33,
Danny Cater,33,
Alex Cora,33,
Stephen Drew,33,
Lucas Duda,33,
Ken Harrelson,33,
Eddie Kasko,33,
George Kell,33,
Ken Landreaux,33,
Rick Manning,33,
Heinie Manush,33,
Mike Marshall,33,
Gene Moore,33,
Jerry Morales,33,
Freddie Patek,33,
Biff Pocoroba,33,
Floyd Robinson,33,
Henry Rodriguez,33,
Luke Scott,33,
Hal Smith,33,
Seth Smith,33,
Bob Tillman,33,
Jose Vizcaino,33,
Joe Vosmik,33,
Vic Wertz,33,
Jesus Alou,32,772
Harry Anderson,32,
Clint Barmes,32,
Josh Bell,32,
Dante Bichette,32,
Bret Boone,32,
Steve Braun,32,
Bill Bruton,32,
Starlin Castro,32,
Danny Espinosa,32,
Les Fleming,32,
Brad Fullmer,32,
Steve Henderson,32,
Steve Jeltz,32,
Ray Lamanno,32,
Candy Maldonado,32,
Charlie Maxwell,32,
Dan Meyer,32,
Matt Nokes,32,
Dick Siebert,32,
Harry Simpson,32,
Mickey Stanley,32,
Billy Sullivan,32,
