Name,Hit by Pitch,Rank
Doggie Miller,45,
Dots Miller,45,
Rube Oldring,45,
Magglio Ordonez,45,
Darrell Porter,45,
Alex Rios,45,
David Wright,45,
Dmitri Young,45,
Jimmy Austin,44,679
David Bell,44,
Milton Bradley,44,
Kole Calhoun,44,
Joey Cora,44,
Jack Crooks,44,
Ed Hahn,44,
Brian Harper,44,
Chris Hoiles,44,
Tom Jones,44,
Willie Mays,44,
Bill Melton,44,
Fred Merkle,44,
Eddie Miller,44,
George Moriarty,44,
Tip O'Neill,44,
Kyle Schwarber,44,
Chick Stahl,44,
Gee Walker,44,
George Watkins,44,
Nolan Arenado,43,699
Richie Ashburn,43,
Lu Blue,43,
Jim Bottomley,43,
Steve Buechele,43,
Birdie Cree,43,
Ian Desmond,43,
Jay Faatz,43,
Cecil Fielder,43,
Ryan Freel,43,
Oscar Gamble,43,
Marwin Gonzalez,43,
Casey Kotchman,43,
Tim Locastro,43,
Johnny Logan,43,
Fred Mann,43,
Nyjer Morgan,43,
Steve O'Neill,43,
Tony Perez,43,
Buster Posey,43,
Yasiel Puig,43,
Babe Ruth,43,
Carlos Santana,43,
Edmundo Sosa,43,
Sammy Strang,43,
Ed Swartwood,43,
Leon Wagner,43,
Billy Williams,43,
Jorge Alfaro,42,727
Mark Belanger,42,
Bill Buckner,42,
Byron Buxton,42,
Charlie Comiskey,42,
Don Demeter,42,
Charlie Dexter,42,
Brendan Donovan,42,
Joe Dugan,42,
Elbie Fletcher,42,
Chick Gandil,42,
John Ganzel,42,
Bernard Gilkey,42,
Dan Gladden,42,
Scott Hatteberg,42,
Nico Hoerner,42,
Thurman Munson,42,
Larry Parrish,42,
Tony Phillips,42,
Tim Raines,42,
Carl Reynolds,42,
Miguel Rojas,42,
Don Slaught,42,
Elmer Smith,42,
Kelly Stinnett,42,
Chris Taylor,42,
Patsy Tebeau,42,
Jesse Winker,42,
Jimmy Wolf,42,
Todd Zeile,42,
Edgardo Alfonzo,41,757
"Sandy Alomar, Jr.",41,
Dante Bichette,41,
Don Buford,41,
Oyster Burns,41,
Johnny Callison,41,
Harlond Clift,41,
Jeff Conine,41,
Doc Cramer,41,
Shawon Dunston,41,
Travis Fryman,41,
Chris Gomez,41,
Fred Hartman,41,
Frank Isbell,41,
Kevin Kiermaier,41,
Candy Maldonado,41,
Trey Mancini,41,
Doug Mientkiewicz,41,
Raul Mondesi,41,
