Name,Games,Rank
Tom Candiotti,68,617
Woodie Fryman,68,618
Dwight Gooden,68,619
Ray Herbert,68,620
Orel Hershiser,68,621
Bill James,68,622
George Keefe,68,623
John Kirby,68,624
Frank Miller,68,625
Mike O'Neill,68,626
Red Barrett,67,627
Dave Ferriss,67,628
Bob Forsch,67,629
Roy Halladay,67,630
Bob Muncrief,67,631
Rollie Naylor,67,632
Sonny Siebert,67,633
Clyde Wright,67,634
Hank Wyse,67,635
Orval Grove,66,636
Harry Harper,66,637
Ken Heintzelman,66,638
Ray Kolp,66,639
Denny Lemaster,66,640
Johnny Rigney,66,641
Jim Rooker,66,642
Bob Weiland,66,643
Bill Wight,66,644
Tommy Byrne,65,645
