Name,Games,Rank
Brooks Lawrence,22,709
Bob Lemon,22,710
James McArthur,22,711
Dyar Miller,22,712
Jeff Parrett,22,713
Mike Perez,22,714
Nels Potter,22,715
Jay Powell,22,716
Mike Proly,22,717
David Riske,22,718
Curt Schilling,22,719
Drew Steckenrider,22,720
Wes Stock,22,721
Ed Vande Berg,22,722
Gary Wagner,22,723
Tim Wakefield,22,724
Tom Zachary,22,725
Johnny Antonelli,21,726
Rube Benton,21,727
Yhency Brazoban,21,728
Rex Brothers,21,729
Lloyd Brown,21,730
Ben Cantwell,21,731
Stan Coveleski,21,732
Tom Dukes,21,733
Bob Feller,21,734
Harvey Haddix,21,735
Mickey Harris,21,736
Will Harris,21,737
Joe Haynes,21,738
Joe Hesketh,21,739
Lew Krausse,21,740
Jack Meyer,21,741
John Montague,21,742
Bobo Newsom,21,743
Don Nottebart,21,744
Vladimir Nunez,21,745
Darren O'Day,21,746
Antonio Osuna,21,747
Jim Owens,21,748
Claude Passeau,21,749
Paul Quantrill,21,750
Bob Reynolds,21,751
Ricardo Rincon,21,752
Mac Scarce,21,753
Calvin Schiraldi,21,754
Johnny Schmitz,21,755
Scot Shields,21,756
Sherry Smith,21,757
Lee Stange,21,758
Dave Stevens,21,759
Mark Thurmond,21,760
Ken Trinkle,21,761
Bob Veale,21,762
Ryan Walker,21,763
Mark Williamson,21,764
Stan Bahnsen,20,765
De Wayne Buice,20,766
Ambiorix Burgos,20,767
Bullet Joe Bush,20,768
Andrew Chafin,20,769
Casey Cox,20,770
Jack Hamilton,20,771
Brad Hennessey,20,772
Jeremy Hernandez,20,773
Art Houtteman,20,774
Bob Humphreys,20,775
Larry Jackson,20,776
Tyler Kinley,20,777
Jeff Lahti,20,778
Mike Maddux,20,779
Walt Masterson,20,780
George Mogridge,20,781
Hipolito Pichardo,20,782
Howie Pollet,20,783
Mike Remlinger,20,784
Scott Stewart,20,785
Scott Strickland,20,786
Bill Swift,20,787
Jim Turner,20,788
Rowan Wick,20,789
Jack Wilson,20,790
Justin Wilson,20,791
Anthony Young,20,792
Bob Allen,19,793
Luis Ayala,19,794
Hugh Bedient,19,795
Hank Behrman,19,796
Ray Benge,19,797
Ralph Branca,19,798
Don Brennan,19,799
Hal Carlson,19,800
Hector Carrasco,19,801
Larry Cheney,19,802
Roger Craig,19,803
Steve Crawford,19,804
Bruce Dal Canton,19,805
Jake Diekman,19,806
Pat Dobson,19,807
Michael Fulmer,19,808
Bill Greif,19,809
Dixie Howell,19,810
Ernie Johnson,19,811
Dave Jolly,19,812
Jack Knott,19,813
Ryan Kohlmeier,19,814
Bill Lee,19,815
Jim Lindsey,19,816
Rube Marquard,19,817
Jakie May,19,818
Bob Moose,19,819
Joe Nuxhall,19,820
Steve Ontiveros,19,821
Ron Robinson,19,822
Richard Rodríguez,19,823
Tyler Rogers,19,824
Rosy Ryan,19,825
Kevin Saucier,19,826
Jack Scott,19,827
Bryan Shaw,19,828
Alfredo Simon,19,829
Dave Stewart,19,830
Chuck Stobbs,19,831
Elam Vangilder,19,832
Ron Willis,19,833
Johnny Allen,18,834
Joe Berry,18,835
Harry Brecheen,18,836
Mike Caldwell,18,837
Bobby Castillo,18,838
Joe Dobson,18,839
Sammy Ellis,18,840
Danny Farquhar,18,841
Frank Funk,18,842
Burleigh Grimes,18,843
Ed Heusser,18,844
Ken Holloway,18,845
Jim Kaat,18,846
Ray Kolp,18,847
Dan Osinski,18,848
Bob Priddy,18,849
Jerry Reed,18,850
Steve Reed,18,851
Joe Shaute,18,852
Bob Shirley,18,853
Chris Short,18,854
Frank Sullivan,18,855
Ryan Tepera,18,856
Tom Underwood,18,857
Dave Wickersham,18,858
Greg Aquino,17,859
Ed Brandt,17,860
Tony Cingrani,17,861
Ryan Cook,17,862
Ray Corbin,17,863
Larry French,17,864
Johnny Gorsica,17,865
Warren Hacker,17,866
Claude Hendrix,17,867
Kevin Hickey,17,868
Bobby Hogue,17,869
Tex Hughson,17,870
Bart Johnson,17,871
Earl Johnson,17,872
Claude Jonnard,17,873
Chad Kimsey,17,874
Jerry Koosman,17,875
Max Lanier,17,876
