Name,ERA,Raw_ERA,Rank
Mike Flanagan,3.9,3.896,771
Juan Berenguer,3.9,3.898,772
Joe Heving,3.9,3.899,773
Mike Krukow,3.9,3.899,774
Jack Morris,3.9,3.9,775
Joe Nuxhall,3.9,3.901,776
Robbie Ray,3.9,3.904,777
Barry Latman,3.91,3.906,778
Al Mays,3.91,3.906,779
Ben Cantwell,3.91,3.907,780
Tex Carleton,3.91,3.908,781
Clyde Shoun,3.91,3.909,782
Mickey McDermott,3.91,3.91,783
Ben McDonald,3.91,3.91,784
Dennis Cook,3.91,3.914,785
Bruce Hurst,3.92,3.917,786
Don Cardwell,3.92,3.918,787
Mike Stanton,3.92,3.918,788
Fred Frankhouse,3.92,3.918,789
John Lackey,3.92,3.92,790
Bob Tewksbury,3.92,3.92,791
Steve Hargan,3.92,3.921,792
Huck Betts,3.93,3.926,793
Chris Archer,3.93,3.926,794
Ken Brett,3.93,3.927,795
Dennis Lamp,3.93,3.928,796
Phil Marchildon,3.93,3.928,797
Bill Gullickson,3.93,3.93,798
Ken Heintzelman,3.93,3.932,799
Shaun Marcum,3.93,3.932,800
Rollie Naylor,3.93,3.935,801
Tom Lovett,3.94,3.937,802
Bob Smith,3.94,3.938,803
Tom Browning,3.94,3.94,804
Billy Hoeft,3.94,3.941,805
Paul Minner,3.94,3.943,806
Dan Petry,3.95,3.946,807
Danny Duffy,3.95,3.946,808
Dave Stewart,3.95,3.95,809
Bill Swift,3.95,3.95,810
Bill Wight,3.95,3.95,811
Chris Young,3.95,3.953,812
Tom Gordon,3.96,3.958,813
Jason Schmidt,3.96,3.958,814
Mark Gubicza,3.96,3.959,815
Jim Bagby,3.96,3.959,816
Brickyard Kennedy,3.96,3.959,817
John Curtis,3.96,3.96,818
Wilson Alvarez,3.96,3.96,819
Mike Fornieles,3.96,3.961,820
Danny MacFayden,3.96,3.961,821
Pink Hawley,3.96,3.961,822
Mike Torrez,3.96,3.962,823
Chris Bosio,3.96,3.963,824
Nathan Eovaldi,3.96,3.964,825
Stubby Overmire,3.96,3.964,826
Dixie Davis,3.97,3.965,827
Steve Stone,3.97,3.966,828
Mark Langston,3.97,3.967,829
Hal Carlson,3.97,3.97,830
Todd Jones,3.97,3.971,831
Ed Stein,3.97,3.973,832
Frank Foreman,3.97,3.973,833
Andy Benes,3.97,3.973,834
Denny Galehouse,3.97,3.975,835
Al Jackson,3.98,3.977,836
Clay Buchholz,3.98,3.979,837
Wayne Twitchell,3.98,3.979,838
Jake Arrieta,3.98,3.98,839
Matt Morris,3.98,3.982,840
Art Ditmar,3.98,3.982,841
Bobo Newsom,3.98,3.984,842
Lynn McGlothen,3.98,3.984,843
Larry McWilliams,3.99,3.985,844
Jake Odorizzi,3.99,3.985,845
A.J. Burnett,3.99,3.987,846
Doug Bird,3.99,3.99,847
Scott McGregor,3.99,3.99,848
Al Hollingsworth,3.99,3.99,849
Erik Bedard,3.99,3.99,850
Russ Meyer,3.99,3.991,851
Steve McCatty,3.99,3.991,852
George Uhle,3.99,3.993,853
Nels Potter,3.99,3.993,854
Win Mercer,3.99,3.993,855
Fritz Ostermueller,3.99,3.993,856
Ed Crane,3.99,3.994,857
Rick Mahler,3.99,3.994,858
LaMarr Hoyt,3.99,3.994,859
Rip Collins,3.99,3.995,860
Steve Renko,3.99,3.995,861
Carl Erskine,4.0,3.996,862
Ted Power,4.0,3.996,863
Monte Pearson,4.0,3.997,864
Tom Brewer,4.0,4.001,865
Lew Krausse,4.0,4.003,866
Sean Manaea,4.0,4.005,867
Bill Bonham,4.01,4.006,868
Joe Haynes,4.01,4.008,869
Danny Jackson,4.01,4.008,870
Rick Langford,4.01,4.008,871
Cal McLish,4.01,4.011,872
Rich Hill,4.01,4.011,873
Jim Wilson,4.01,4.012,874
Moose Haas,4.01,4.013,875
Ray Herbert,4.01,4.014,876
James Shields,4.01,4.015,877
Reggie Cleveland,4.01,4.015,878
Red Ehret,4.02,4.016,879
Dave LaPoint,4.02,4.02,880
Mike LaCoss,4.02,4.02,881
Shane Rawley,4.02,4.021,882
Scott Kazmir,4.02,4.021,883
Storm Davis,4.02,4.023,884
Art Fowler,4.03,4.025,885
Derek Lowe,4.03,4.026,886
Mark Portugal,4.03,4.026,887
Bill Hallahan,4.03,4.029,888
Rick Reed,4.03,4.029,889
Bob Walk,4.03,4.03,890
Jim Slaton,4.03,4.031,891
Larry Benton,4.03,4.032,892
Ike Delock,4.03,4.035,893
José Berríos,4.04,4.036,894
R.A. Dickey,4.04,4.036,895
Rheal Cormier,4.04,4.037,896
Theodore Breitenstein,4.04,4.038,897
Wes Ferrell,4.04,4.039,898
Dallas Keuchel,4.04,4.039,899
Oil Can Boyd,4.04,4.041,900
Barry Zito,4.04,4.041,901
Jose Guzman,4.05,4.05,902
Phil Knell,4.05,4.053,903
Mike Leake,4.05,4.055,904
Jack Fisher,4.06,4.059,905
Elmer Myers,4.06,4.059,906
Aníbal Sánchez,4.06,4.059,907
Michael Pineda,4.06,4.06,908
Syl Johnson,4.06,4.06,909
Ray Moore,4.06,4.061,910
Yovani Gallardo,4.06,4.062,911
Floyd Bannister,4.06,4.063,912
Mike Hampton,4.06,4.063,913
Charlie Morton,4.06,4.064,914
Ken Hill,4.06,4.064,915
Tony Cloninger,4.07,4.068,916
Jouett Meekin,4.07,4.069,917
Pete Falcone,4.07,4.069,918
Tom Griffin,4.07,4.07,919
Jordan Zimmermann,4.07,4.071,920
Jonathon Niese,4.07,4.071,921
Brett Anderson,4.07,4.072,922
George Haddock,4.07,4.073,923
Mike Fiers,4.07,4.074,924
Milt Wilcox,4.07,4.075,925
Arthur Rhodes,4.08,4.077,926
Juan Guzman,4.08,4.077,927
Ray Kolp,4.08,4.079,928
Phenomenal Smith,4.08,4.079,929
Rick Sutcliffe,4.08,4.08,930
Pedro Ramos,4.08,4.08,931
Wade Miley,4.08,4.082,932
Bill Stoneman,4.08,4.084,933
Ruben Gomez,4.09,4.085,934
Andrew Cashner,4.09,4.086,935
Si Johnson,4.09,4.087,936
George Pipgras,4.09,4.088,937
Matt Garza,4.09,4.088,938
Ismael Valdez,4.09,4.088,939
Shane Reynolds,4.09,4.089,940
Jake Miller,4.09,4.089,941
Bill Phillips,4.09,4.091,942
John Harkins,4.09,4.092,943
Jarrod Washburn,4.1,4.095,944
Wandy Rodriguez,4.1,4.103,945
Bill Travers,4.1,4.104,946
Ervin Santana,4.11,4.108,947
Dick Fowler,4.11,4.11,948
Tommy Byrne,4.11,4.11,949
Jeff Fassero,4.11,4.111,950
Kevin Millwood,4.11,4.112,951
Jack Dunn,4.11,4.113,952
Kevin Gross,4.11,4.113,953
Tommy Thomas,4.11,4.115,954
Alvin Crowder,4.12,4.115,955
Turk Lown,4.12,4.116,956
Kirk McCaskill,4.12,4.117,957
Bartolo Colon,4.12,4.118,958
Andy Ashby,4.12,4.121,959
Darryl Kile,4.12,4.123,960
Clarence Mitchell,4.12,4.124,961
Jimmy Ring,4.12,4.125,962
J.A. Happ,4.13,4.125,963
David Wells,4.13,4.13,964
Ray Scarborough,4.13,4.133,965
Sheriff Blake,4.13,4.133,966
Gene Nelson,4.13,4.133,967
Jeremy Hellickson,4.13,4.134,968
Orlando Hernandez,4.13,4.135,969
Charles Hudson,4.14,4.135,970
Ryan Franklin,4.14,4.137,971
Art Houtteman,4.14,4.138,972
Dick Ruthven,4.14,4.139,973
Paul Foytack,4.14,4.14,974
Chris Hammond,4.14,4.141,975
Ivy Andrews,4.14,4.141,976
Jim Deshaies,4.14,4.143,977
Ted Lilly,4.14,4.144,978
Bill Carrick,4.14,4.144,979
Walt Masterson,4.15,4.146,980
Lary Sorensen,4.15,4.147,981
Dennis Rasmussen,4.15,4.147,982
Joe Shaute,4.15,4.148,983
Braden Looper,4.15,4.148,984
Erik Hanson,4.15,4.149,985
Sammy Ellis,4.15,4.15,986
Kelvim Escobar,4.15,4.151,987
Jeff Samardzija,4.15,4.152,988
Francisco Liriano,4.15,4.153,989
Freddy Garcia,4.15,4.154,990
Kent Mercker,4.16,4.156,991
Bill Wegman,4.16,4.158,992
Rube Walberg,4.16,4.163,993
Tim Belcher,4.16,4.163,994
Ian Kennedy,4.16,4.164,995
Miles Mikolas,4.17,4.165,996
Melido Perez,4.17,4.166,997
Mark Davis,4.17,4.166,998
Jim Beattie,4.17,4.168,999
Dontrelle Willis,4.17,4.169,1000
Eduardo Rodriguez,4.17,4.169,1001
